f1,f2,f3,f4,f5,gdp,ax,ay,az,gx,gy,gz,label
2592.0,2221.0,2202.0,2375.0,2495.0,6236.534,5660.0,6348.0,14292.0,2231.0,-355.0,-5813.0,Five
2526.0,2189.0,2202.0,2327.0,2461.0,5637.502,3660.0,6556.0,13624.0,919.0,-32.0,-5562.0,Five
2303.0,2012.0,2142.0,1910.0,2103.0,1103.972,3336.0,12068.0,10728.0,-25.0,-693.0,859.0,Five
2307.0,2001.0,2147.0,1894.0,2098.0,1428.951,3996.0,12108.0,10548.0,-147.0,-994.0,1016.0,Five
2319.0,2014.0,2177.0,1929.0,2113.0,2271.626,4264.0,11808.0,11068.0,554.0,-1963.0,1000.0,Five
2330.0,2037.0,2128.0,1927.0,2160.0,956.917,5176.0,11540.0,10676.0,-227.0,-556.0,745.0,Five
2294.0,2003.0,2112.0,1872.0,2099.0,582.146,4932.0,11504.0,11116.0,493.0,-177.0,254.0,Five
2338.0,1963.0,2112.0,1959.0,2113.0,815.588,4604.0,11488.0,10856.0,316.0,-728.0,188.0,Five
2294.0,2015.0,2128.0,1891.0,2095.0,293.959,4164.0,11852.0,10964.0,242.0,118.0,118.0,Five
2288.0,1990.0,2150.0,1929.0,2096.0,954.171,3384.0,11476.0,10748.0,232.0,-903.0,203.0,Five
2313.0,1993.0,2129.0,1901.0,2101.0,1316.877,3328.0,11852.0,10524.0,-190.0,-471.0,1215.0,Five
2305.0,1968.0,2133.0,1968.0,2085.0,2796.312,3948.0,11752.0,10832.0,-389.0,-1734.0,2159.0,Five
2278.0,2000.0,2137.0,1879.0,2101.0,3651.098,4676.0,11448.0,11256.0,-190.0,-2147.0,2947.0,Five
2297.0,2016.0,2145.0,1898.0,2091.0,3943.638,5376.0,11168.0,11048.0,799.0,-2909.0,2540.0,Five
2279.0,2015.0,2139.0,1902.0,2111.0,3978.313,6208.0,10788.0,10680.0,-63.0,-2728.0,2895.0,Five
2313.0,1990.0,2141.0,1913.0,2091.0,3439.129,7168.0,10896.0,10192.0,-738.0,-1811.0,2829.0,Five
2320.0,2014.0,2151.0,1902.0,2101.0,2907.426,7500.0,10244.0,11044.0,-694.0,-1140.0,2583.0,Five
2317.0,2007.0,2159.0,1891.0,2108.0,1794.191,8176.0,10304.0,11760.0,215.0,-847.0,1567.0,Five
2317.0,1977.0,2119.0,1907.0,2100.0,1601.505,8336.0,10656.0,11220.0,1219.0,-696.0,771.0,Five
2295.0,1984.0,2165.0,1933.0,2099.0,1048.596,7872.0,10348.0,10324.0,1016.0,-164.0,-201.0,Five
2307.0,2010.0,2142.0,1927.0,2104.0,1430.436,7456.0,10264.0,10628.0,1242.0,-420.0,-572.0,Five
2306.0,2000.0,2153.0,1899.0,2099.0,1079.319,7308.0,10752.0,9976.0,600.0,-452.0,-775.0,Five
2321.0,2020.0,2182.0,1898.0,2091.0,1033.211,6292.0,10848.0,10768.0,850.0,441.0,-388.0,Five
2288.0,1997.0,2142.0,1904.0,2103.0,113.723,7256.0,10604.0,10196.0,12.0,-105.0,42.0,Five
2335.0,1990.0,2138.0,1911.0,2093.0,1038.467,7444.0,10700.0,11840.0,514.0,611.0,-664.0,Five
2323.0,1995.0,2128.0,1886.0,2096.0,3114.053,10452.0,10176.0,11996.0,1712.0,788.0,-2479.0,Five
2315.0,2006.0,2142.0,1904.0,2109.0,7324.231,10028.0,10612.0,11548.0,2285.0,3615.0,-5946.0,Five
2309.0,2012.0,2126.0,1895.0,2096.0,9717.092,7304.0,10360.0,10496.0,3744.0,3449.0,-8277.0,Five
2319.0,2003.0,2117.0,1904.0,2114.0,9855.033,4944.0,10924.0,9180.0,3515.0,3997.0,-8294.0,Five
2314.0,2005.0,2125.0,1903.0,2096.0,8206.068,3172.0,12196.0,8800.0,2690.0,2117.0,-7458.0,Five
2295.0,2031.0,2126.0,1907.0,2113.0,6078.513,1660.0,12340.0,9012.0,808.0,982.0,-5944.0,Five
2327.0,2005.0,2144.0,1936.0,2103.0,4341.35,448.0,12732.0,9132.0,-325.0,644.0,-4281.0,Five
2305.0,1994.0,2152.0,1911.0,2096.0,3413.509,332.0,12924.0,9756.0,-1419.0,1049.0,-2922.0,Five
