# label=Five
# timestamp=1763135471.222154
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2592 2221 2202 2375 2495 | ACC: 5660 6348 14292 | GYRO: 2231 -355 -5813 | GDP=6236.534
FLEX: 2526 2189 2202 2327 2461 | ACC: 3660 6556 13624 | GYRO: 919 -32 -5562 | GDP=5637.502
FLEX: 2606 2223 2230 2335 2483 | ACC: 255-203 360 666 | GDP=783.814
FLEX: 2303 2012 2142 1910 2103 | ACC: 3336 12068 10728 | GYRO: -25 -693 859 | GDP=1103.972
FLEX: 2307 2001 2147 1894 2098 | ACC: 3996 12108 10548 | GYRO: -147 -994 1016 | GDP=1428.951
FLEX: 2319 2014 2177 1929 2113 | ACC: 4264 11808 11068 | GYRO: 554 -1963 1000 | GDP=2271.626
FLEX: 2330 2037 2128 1927 2160 | ACC: 5176 11540 10676 | GYRO: -227 -556 745 | GDP=956.917
FLEX: 2294 2003 2112 1872 2099 | ACC: 4932 11504 11116 | GYRO: 493 -177 254 | GDP=582.146
FLEX: 2338 1963 2112 1959 2113 | ACC: 4604 11488 10856 | GYRO: 316 -728 188 | GDP=815.588
FLEX: 2294 2015 2128 1891 2095 | ACC: 4164 11852 10964 | GYRO: 242 118 118 | GDP=293.959
FLEX: 2288 1990 2150 1929 2096 | ACC: 3384 11476 10748 | GYRO: 232 -903 203 | GDP=954.171
FLEX: 2313 1993 2129 1901 2101 | ACC: 3328 11852 10524 | GYRO: -190 -471 1215 | GDP=1316.877
FLEX: 2305 1968 2133 1968 2085 | ACC: 3948 11752 10832 | GYRO: -389 -1734 2159 | GDP=2796.312
FLEX: 2278 2000 2137 1879 2101 | ACC: 4676 11448 11256 | GYRO: -190 -2147 2947 | GDP=3651.098
FLEX: 2297 2016 2145 1898 2091 | ACC: 5376 11168 11048 | GYRO: 799 -2909 2540 | GDP=3943.638
FLEX: 2279 2015 2139 1902 2111 | ACC: 6208 10788 10680 | GYRO: -63 -2728 2895 | GDP=3978.313
FLEX: 2313 1990 2141 1913 2091 | ACC: 7168 10896 10192 | GYRO: -738 -1811 2829 | GDP=3439.129
FLEX: 2320 2014 2151 1902 2101 | ACC: 7500 10244 11044 | GYRO: -694 -1140 2583 | GDP=2907.426
FLEX: 2317 2007 2159 1891 2108 | ACC: 8176 10304 11760 | GYRO: 215 -847 1567 | GDP=1794.191
FLEX: 2317 1977 2119 1907 2100 | ACC: 8336 10656 11220 | GYRO: 1219 -696 771 | GDP=1601.505
FLEX: 2295 1984 2165 1933 2099 | ACC: 7872 10348 10324 | GYRO: 1016 -164 -201 | GDP=1048.596
FLEX: 2307 2010 2142 1927 2104 | ACC: 7456 10264 10628 | GYRO: 1242 -420 -572 | GDP=1430.436
FLEX: 2306 2000 2153 1899 2099 | ACC: 7308 10752 9976 | GYRO: 600 -452 -775 | GDP=1079.319
FLEX: 2321 2020 2182 1898 2091 | ACC: 6292 10848 10768 | GYRO: 850 441 -388 | GDP=1033.211
FLEX: 2288 1997 2142 1904 2103 | ACC: 7256 10604 10196 | GYRO: 12 -105 42 | GDP=113.723
FLEX: 2335 1990 2138 1911 2093 | ACC: 7444 10700 11840 | GYRO: 514 611 -664 | GDP=1038.467
FLEX: 2323 1995 2128 1886 2096 | ACC: 10452 10176 11996 | GYRO: 1712 788 -2479 | GDP=3114.053
FLEX: 2315 2006 2142 1904 2109 | ACC: 10028 10612 11548 | GYRO: 2285 3615 -5946 | GDP=7324.231
FLEX: 2309 2012 2126 1895 2096 | ACC: 7304 10360 10496 | GYRO: 3744 3449 -8277 | GDP=9717.092
FLEX: 2319 2003 2117 1904 2114 | ACC: 4944 10924 9180 | GYRO: 3515 3997 -8294 | GDP=9855.033
FLEX: 2314 2005 2125 1903 2096 | ACC: 3172 12196 8800 | GYRO: 2690 2117 -7458 | GDP=8206.068
FLEX: 2295 2031 2126 1907 2113 | ACC: 1660 12340 9012 | GYRO: 808 982 -5944 | GDP=6078.513
FLEX: 2327 2005 2144 1936 2103 | ACC: 448 12732 9132 | GYRO: -325 644 -4281 | GDP=4341.350
FLEX: 2305 1994 2152 1911 2096 | ACC: 332 12924 9756 | GYRO: -1419 1049 -2922 | GDP=3413.509
FLEX: 2315 1995 2146 1907 2110 | ACC: -644 12728 11360 | GYRO: -782 269 -1154 | GDP=1419.719
FLEX: 2320 1999 2131 1904 2103 | ACC: -140 11996 11768 | GYRO: -573 -366 718 | GDP=988.842
FLEX: 2322 1991 2112 1921 2121 | ACC: 412 12588 11076 | GYRO: 642 -804 1563 | GDP=1871.243
FLEX: 2319 2007 2146 1901 2127 | ACC: 936 12432 10564 | GYRO: -196 -1196 3154 | GDP=3378.838
FLEX: 2323 1998 2129 1898 2096 | ACC: 1348 12624 11072 | GYRO: -44 -2049 4403 | GDP=4856.619
FLEX: 2322 2000 2142 1910 2112 | ACC: 2968 11496 10876 | GYRO: -479 -2286 4709 | GDP=5256.417
FLEX: 2310 1997 2123 1918 2096 | ACC: 3852 11292 11700 | GYRO: -243 -3114 5150 | GDP=6023.167
FLEX: 2352 2005 2154 1925 2118 | ACC: 5920 11208 10720 | GYRO: 331 -2348 4639 | GDP=5209.893
FLEX: 2330 1995 2143 1875 2086 | ACC: 6456 11436 11084 | GYRO: 323 -1670 3756 | GDP=4123.198
FLEX: 2325 2005 2149 1914 2142 | ACC: 6720 11060 11052 | GYRO: 942 670 2514 | GDP=2767.031
FLEX: 2326 2000 2137 1921 2118 | ACC: 9124 10564 9256 | GYRO: 2381 12068 141 | GDP=12301.450
FLEX: 2323 2003 2160 1895 2106 | ACC: 3964 11764 10532 | GYRO: -1448 32767 -2508 | GDP=32894.727
FLEX: 2299 2001 2128 1913 2100 | ACC: -2172 9576 15132 | GYRO: 3171 32767 -2063 | GDP=32984.656
FLEX: 2294 2005 2141 1917 2107 | ACC: -3924 12160 9484 | GYRO: 6047 32767 2718 | GDP=33430.977
FLEX: 2320 2000 2154 1911 2089 | ACC: -8400 13180 10620 | GYRO: 8288 32767 -48 | GDP=33798.957
FLEX: 2352 2010 2165 1903 2105 | ACC: -10428 11116 7292 | GYRO: 4694 32767 5489 | GDP=33553.527
FLEX: 2323 2009 2143 1911 2078 | ACC: -9292 12228 5540 | GYRO: 5175 21530 6454 | GDP=23064.598
FLEX: 2332 2031 2154 1931 2095 | ACC: -8444 12464 3116 | GYRO: 2781 24731 5666 | GDP=25523.711
FLEX: 2323 2020 2157 1922 2096 | ACC: -7484 14724 2864 | GYRO: 2596 16383 7158 | GDP=18065.959
