# label=Four
# timestamp=1763135451.117322
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2432 2193 2198 2249 2449 | ACC: 6152 4244 17328 | GYRO: 3680 3016 7 | GDP=4758.015
FLEX: 2436 2209 2213 2290 2455 | ACC: 4252 4800 15568 | GYRO: 6149 4428 -1363 | GDP=7699.036
FLEX: 2441 2183 2198 2247 2438 | ACC: 700 44 107 87 | GDP=658.600
FLEX: 2604 0 2159 1883 2101 | ACC: 4608 11780 10404 | GYRO: 480 219 91 | GDP=535.390
FLEX: 2637 0 2159 1935 2144 | ACC: 4296 11748 10592 | GYRO: 189 58 171 | GDP=261.392
FLEX: 2617 0 2155 1861 2114 | ACC: 4740 11688 10552 | GYRO: -12 -505 526 | GDP=729.277
FLEX: 2642 0 2128 1904 2119 | ACC: 4596 11784 10872 | GYRO: 216 207 261 | GDP=397.021
FLEX: 2610 0 2145 1905 2112 | ACC: 4280 11988 11120 | GYRO: 106 -493 766 | GDP=917.083
FLEX: 2623 0 2125 1910 2148 | ACC: 4284 11788 11048 | GYRO: 523 -544 942 | GDP=1206.992
FLEX: 2607 0 2129 1884 2127 | ACC: 4256 11564 10864 | GYRO: 333 -620 1132 | GDP=1332.934
FLEX: 2638 0 2140 1919 2126 | ACC: 4696 11628 10384 | GYRO: 89 -496 1050 | GDP=1164.662
FLEX: 2601 0 2143 1872 2101 | ACC: 4880 11428 10756 | GYRO: -259 -820 1364 | GDP=1612.444
FLEX: 2606 0 2145 1929 2092 | ACC: 4480 11720 11256 | GYRO: -571 -1208 1677 | GDP=2144.209
FLEX: 2609 0 2145 1880 2084 | ACC: 5004 11148 10992 | GYRO: -164 -1857 1997 | GDP=2731.914
FLEX: 2597 0 2132 1927 2229 | ACC: 5452 11164 10544 | GYRO: -735 -2028 2282 | GDP=3140.149
FLEX: 2601 0 2128 1869 2138 | ACC: 6028 10576 10412 | GYRO: -1365 -3324 2786 | GDP=4546.867
FLEX: 2627 0 2172 1958 2161 | ACC: 6528 10452 11328 | GYRO: -1497 -2050 2860 | GDP=3824.017
FLEX: 2631 0 2175 1845 2099 | ACC: 7352 10312 11060 | GYRO: -818 -2011 2415 | GDP=3247.379
FLEX: 2630 0 2189 1874 2117 | ACC: 7784 9748 10840 | GYRO: -1156 -1170 2206 | GDP=2751.667
FLEX: 2645 0 2112 1918 2112 | ACC: 10416 9248 11796 | GYRO: -1097 370 97 | GDP=1161.774
FLEX: 2653 0 2123 1927 2131 | ACC: 10544 9604 14000 | GYRO: 1096 1878 -3814 | GDP=4390.296
FLEX: 2621 0 2144 1871 2167 | ACC: 8244 9784 12932 | GYRO: 3861 2798 -6124 | GDP=7761.411
FLEX: 2628 0 2156 1899 2102 | ACC: 5976 10160 10896 | GYRO: 4280 2208 -5688 | GDP=7452.986
FLEX: 2673 0 2171 1891 2127 | ACC: 4800 10824 9968 | GYRO: 3297 678 -4240 | GDP=5413.640
FLEX: 2622 0 2126 1902 2147 | ACC: 4252 11000 8636 | GYRO: 1998 -77 -2744 | GDP=3395.213
FLEX: 2662 0 2160 1894 2129 | ACC: 2624 12468 8652 | GYRO: -438 -481 82 | GDP=655.690
FLEX: 2645 0 2149 1938 2166 | ACC: 4516 12188 10300 | GYRO: -1948 -676 1881 | GDP=2791.029
FLEX: 2625 0 2160 1865 2150 | ACC: 5196 11248 11216 | GYRO: -1293 328 1091 | GDP=1723.286
FLEX: 2621 0 2141 1892 2130 | ACC: 5576 10788 12024 | GYRO: -935 -169 715 | GDP=1189.122
FLEX: 2637 0 2134 1915 2128 | ACC: 5488 10908 11988 | GYRO: -151 955 -26 | GDP=967.214
FLEX: 2619 0 2160 1895 2122 | ACC: 5244 10928 11940 | GYRO: 332 245 -251 | GDP=482.960
FLEX: 2639 0 2143 1856 2126 | ACC: 5000 10520 11760 | GYRO: 626 551 -267 | GDP=875.652
FLEX: 2630 0 2132 1958 2131 | ACC: 5312 10820 11512 | GYRO: 609 390 -617 | GDP=950.616
FLEX: 2640 0 2150 1886 2143 | ACC: 4676 10956 11672 | GYRO: 525 788 -511 | GDP=1075.960
FLEX: 2613 0 2143 1917 2143 | ACC: 5320 10924 11264 | GYRO: 540 1533 -715 | GDP=1775.645
FLEX: 2624 0 2147 1921 2170 | ACC: 4296 11124 12144 | GYRO: 640 3156 -1485 | GDP=3546.147
FLEX: 2637 0 2141 1904 2158 | ACC: 6116 9932 9704 | GYRO: 1300 9883 -2967 | GDP=10400.326
FLEX: 2643 0 2150 1905 2129 | ACC: 2904 11156 11684 | GYRO: 1947 18356 -5380 | GDP=19227.012
FLEX: 2624 0 2139 1902 2134 | ACC: 496 11004 10680 | GYRO: 2618 25910 -8134 | GDP=27282.670
FLEX: 2631 0 2165 1907 2137 | ACC: -3488 10612 7772 | GYRO: 3266 32767 -11267 | GDP=34803.566
FLEX: 2622 0 2147 1921 2112 | ACC: -4616 9404 3192 | GYRO: 1138 32767 -13038 | GDP=35284.004
FLEX: 2629 0 2135 1922 2160 | ACC: -21276 11524 6532 | GYRO: -658 32767 -15890 | GDP=36422.539
