# label=G
# timestamp=1765791322.8030176
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 1927 2512 2743 2864 2835 | ACC: -212 13752 8892 | GYRO: 730 221 -68 | GDP=765.745
FLEX: 1901 2514 2759 2835 2822 | ACC: -12 13576 8916 | GYRO: 246 -577 212 | GDP=662.109
FLEX: 1920 2502 2773 2875 2831 | ACC: -96 13640 9056 | GYRO: -27 -221 192 | GDP=293.997
FLEX: 1905 2481 2715 2864 2854 | ACC: 64 13732 9300 | GYRO: -247 -488 170 | GDP=572.759
FLEX: 1925 2512 2773 2851 2803 | ACC: 240 13500 9856 | GYRO: -195 -244 526 | GDP=611.749
FLEX: 1889 2496 2739 2864 2850 | ACC: 360 13772 9888 | GYRO: -9 -437 470 | GDP=641.833
FLEX: 1933 2499 2799 2860 2843 | ACC: 548 13596 9964 | GYRO: 285 195 310 | GDP=464.058
FLEX: 1882 2513 2755 2877 2845 | ACC: 856 13484 10052 | GYRO: 625 -631 189 | GDP=908.024
FLEX: 1893 2513 2777 2864 2860 | ACC: 688 13452 10024 | GYRO: 935 210 21 | GDP=958.523
FLEX: 1895 2503 2752 2851 2876 | ACC: 448 13596 9548 | GYRO: 1002 138 -309 | GDP=1057.605
FLEX: 1881 2501 2785 2863 2862 | ACC: 444 13488 9104 | GYRO: 949 271 -400 | GDP=1064.914
FLEX: 1894 2486 2751 2845 2853 | ACC: -124 13768 9240 | GYRO: 416 -434 83 | GDP=606.878
FLEX: 1885 2510 2789 2908 2833 | ACC: 420 13732 9528 | GYRO: 403 -177 357 | GDP=566.734
FLEX: 1919 2486 2768 2894 2835 | ACC: 244 13692 9716 | GYRO: 572 30 216 | GDP=612.160
FLEX: 1909 2518 2771 2883 2835 | ACC: 892 13560 9400 | GYRO: 467 -222 321 | GDP=608.616
FLEX: 1897 2489 2727 2855 2804 | ACC: 580 13524 9988 | GYRO: 631 -345 325 | GDP=789.184
FLEX: 1889 2497 2786 2880 2847 | ACC: 740 13400 9960 | GYRO: 733 176 -179 | GDP=774.794
FLEX: 1907 2496 2766 2823 2832 | ACC: 944 13368 9828 | GYRO: 853 21 -244 | GDP=887.460
FLEX: 1904 2491 2766 2861 2874 | ACC: -84 13760 9740 | GYRO: 908 134 -329 | GDP=975.018
FLEX: 1894 2513 2757 2890 2845 | ACC: 444 13532 9400 | GYRO: 780 58 -69 | GDP=785.191
FLEX: 1869 2511 2750 2863 2837 | ACC: 216 13700 9828 | GYRO: 729 -347 158 | GDP=822.687
FLEX: 1872 2475 2768 2871 2867 | ACC: 568 13388 9356 | GYRO: 735 231 -183 | GDP=791.881
FLEX: 1895 2492 2770 2865 2823 | ACC: 168 13560 9784 | GYRO: 426 -394 217 | GDP=619.517
FLEX: 1883 2494 2768 2853 2833 | ACC: 628 13596 9716 | GYRO: 605 47 -15 | GDP=607.008
FLEX: 1893 2523 2768 2857 2816 | ACC: 444 13640 9628 | GYRO: 687 84 11 | GDP=692.204
FLEX: 1843 2501 2817 2887 2821 | ACC: 636 13572 9588 | GYRO: 744 -224 -5 | GDP=777.005
FLEX: 1861 2487 2826 2880 2825 | ACC: 212 13700 9648 | GYRO: 610 -119 38 | GDP=622.660
FLEX: 1860 2498 2741 2841 2838 | ACC: 644 13664 9696 | GYRO: 723 -54 61 | GDP=727.575
FLEX: 1903 2488 2796 2871 2816 | ACC: 532 13512 9620 | GYRO: 718 68 -14 | GDP=721.349
FLEX: 1872 2489 2720 2791 2875 | ACC: 524 13552 9528 | GYRO: 738 -201 -9 | GDP=764.935
FLEX: 1891 2483 2803 2869 2795 | ACC: 512 13508 9340 | GYRO: 775 235 -313 | GDP=868.227
FLEX: 1845 2503 2774 2896 2911 | ACC: 472 13532 9640 | GYRO: 692 -484 -6 | GDP=844.486
FLEX: 1856 2454 2747 2800 2833 | ACC: 504 13888 9540 | GYRO: 1047 89 -58 | GDP=1052.375
FLEX: 1866 2480 2787 2827 2862 | ACC: 464 13852 9508 | GYRO: 956 -144 -41 | GDP=967.653
FLEX: 1903 2480 2793 2885 2879 | ACC: 304 13648 9488 | GYRO: 1710 279 395 | GDP=1777.067
