# label=O
# timestamp=1765871316.5032918
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2864 2832 2708 2790 2795 | ACC: -1268 15556 4240 | GYRO: -901 -776 221 | GDP=1209.470
FLEX: 2802 2819 2691 2766 2754 | ACC: -892 15640 4248 | GYRO: -819 -687 -177 | GDP=1083.540
FLEX: 2864 2870 2727 2826 2675 | ACC: -1528 15856 4348 | GYRO: -1121 -252 -260 | GDP=1178.026
FLEX: 2801 2833 2675 2748 2731 | ACC: -2064 15908 4532 | GYRO: -824 530 -15 | GDP=979.847
FLEX: 2846 2829 2735 2833 2817 | ACC: -1528 16000 5156 | GYRO: -1382 -897 925 | GDP=1889.486
FLEX: 2785 2838 2672 2738 2749 | ACC: -1288 15752 5916 | GYRO: -803 -486 768 | GDP=1212.777
FLEX: 2843 2866 2714 2814 2775 | ACC: -872 15496 5388 | GYRO: -354 485 302 | GDP=672.120
FLEX: 2787 2829 2650 2736 2769 | ACC: -1108 15344 5912 | GYRO: -419 -164 506 | GDP=677.121
FLEX: 2847 2832 2704 2778 2783 | ACC: -876 15536 6072 | GYRO: -289 277 -50 | GDP=403.423
FLEX: 2799 2848 2694 2739 2797 | ACC: -1144 15592 6444 | GYRO: 243 252 -184 | GDP=395.486
FLEX: 2865 2858 2672 2811 2797 | ACC: -1124 15776 6380 | GYRO: 666 -366 -263 | GDP=804.165
FLEX: 2795 2831 2695 2767 2734 | ACC: -1356 15940 6668 | GYRO: 1184 -250 -133 | GDP=1217.393
FLEX: 2849 2833 2699 2828 2794 | ACC: -940 15544 6620 | GYRO: 2121 -366 -235 | GDP=2165.138
FLEX: 2789 2859 2704 2753 2800 | ACC: -448 15284 5712 | GYRO: 2724 74 -887 | GDP=2865.732
FLEX: 2842 2833 2681 2832 2815 | ACC: -856 15500 5808 | GYRO: 2499 -1323 -820 | GDP=2944.101
FLEX: 2785 2818 2676 2753 2747 | ACC: -1016 15564 5464 | GYRO: 3262 -365 -1931 | GDP=3808.232
FLEX: 2838 2833 2689 2821 2800 | ACC: -1936 15688 4932 | GYRO: 3479 -130 -2314 | GDP=4180.303
FLEX: 2774 2832 2709 2744 2785 | ACC: -2020 15768 3892 | GYRO: 3288 -615 -1897 | GDP=3845.488
FLEX: 2855 2844 2701 2800 2784 | ACC: -2776 15632 3260 | GYRO: 3047 527 -2082 | GDP=3727.823
FLEX: 2770 2835 2709 2753 2733 | ACC: -3376 15788 2712 | GYRO: 2268 -553 -884 | GDP=2496.215
FLEX: 2849 2843 2710 2766 2800 | ACC: -2880 15768 3048 | GYRO: 1406 -207 -318 | GDP=1456.300
FLEX: 2791 2763 2739 2754 2817 | ACC: -2740 15756 2956 | GYRO: 1284 437 -369 | GDP=1405.627
FLEX: 2842 2883 2626 2758 2838 | ACC: -2472 15724 3000 | GYRO: 577 -331 167 | GDP=685.842
FLEX: 2772 2853 2687 2709 2774 | ACC: -2780 15956 3260 | GYRO: 237 -133 186 | GDP=329.324
FLEX: 2864 2762 2723 2748 2787 | ACC: -2348 15828 3528 | GYRO: 100 14 360 | GDP=373.893
FLEX: 2844 2815 2623 2800 2805 | ACC: -2688 15892 3896 | GYRO: 127 253 420 | GDP=506.496
FLEX: 2772 2809 2739 2802 2758 | ACC: -2260 15712 3220 | GYRO: 54 71 437 | GDP=446.011
FLEX: 2720 2816 2742 2747 2791 | ACC: -2396 16144 3636 | GYRO: -329 -407 1041 | GDP=1165.148
FLEX: 2800 2883 2736 2787 2795 | ACC: -2516 15724 3456 | GYRO: -84 881 883 | GDP=1250.162
FLEX: 2822 2839 2747 2835 2818 | ACC: -2308 15432 3176 | GYRO: -607 1053 1252 | GDP=1744.925
FLEX: 2865 2845 2670 2784 2805 | ACC: -2788 15692 2544 | GYRO: -1511 1636 1666 | GDP=2781.218
FLEX: 2738 2797 2690 2773 2785 | ACC: -2812 15876 3264 | GYRO: -2818 1020 3003 | GDP=4242.585
FLEX: 2846 2852 2700 2762 2796 | ACC: -552 15412 4908 | GYRO: -3512 -1494 3642 | GDP=5275.447
FLEX: 2786 2819 2672 2818 2799 | ACC: 512 15520 6072 | GYRO: -3228 -928 3030 | GDP=4523.502
FLEX: 2882 2866 2690 2768 2785 | ACC: 564 15448 7528 | GYRO: -2106 -1094 2189 | GDP=3228.590
FLEX: 2841 2841 2711 2747 2789 | ACC: 672 15368 7532 | GYRO: -501 1221 274 | GDP=1347.931
FLEX: 2819 2835 2706 2806 2781 | ACC: 264 15408 7096 | GYRO: 332 58 -172 | GDP=378.381
FLEX: 2768 2839 2704 2750 2799 | ACC: -460 15704 6736 | GYRO: 980 106 -315 | GDP=1034.824
FLEX: 2827 2829 2704 2779 2770 | ACC: -444 15268 6128 | GYRO: 1331 591 -749 | GDP=1637.633
FLEX: 2790 2821 2704 2759 2794 | ACC: -428 15444 5764 | GYRO: 1225 -310 -521 | GDP=1366.809
FLEX: 2829 2841 2690 2784 2756 | ACC: -672 15356 5556 | GYRO: 1120 251 -532 | GDP=1265.079
FLEX: 2798 2846 2714 2781 2811 | ACC: -976 15352 5632 | GYRO: 1071 102 -567 | GDP=1216.114
FLEX: 2806 2838 2674 2791 2749 | ACC: -1384 15760 5576 | GYRO: 730 52 -333 | GDP=804.048
FLEX: 2777 2864 2698 2731 2825 | ACC: -936 15616 5768 | GYRO: 751 -220 101 | GDP=789.051
FLEX: 2823 2868 2701 2780 2785 | ACC: -760 15516 5984 | GYRO: 1070 -192 146 | GDP=1096.850
FLEX: 2800 2847 2679 2739 2811 | ACC: -388 15320 5664 | GYRO: 1181 -212 -100 | GDP=1204.037
FLEX: 2805 2805 2667 2775 2764 | ACC: -408 15540 5548 | GYRO: 930 -710 16 | GDP=1170.152
FLEX: 2802 2864 2700 2773 2779 | ACC: -648 15272 5396 | GYRO: 1211 228 -714 | GDP=1424.184
FLEX: 2816 2814 2703 2765 2725 | ACC: -948 15380 5340 | GYRO: 976 44 -674 | GDP=1186.924
FLEX: 2786 2843 2715 2769 2771 | ACC: -1620 15800 5644 | GYRO: 888 -162 -271 | GDP=942.459
FLEX: 2800 2864 2687 2798 2721 | ACC: -1016 15644 5480 | GYRO: 1177 -55 -159 | GDP=1188.964
FLEX: 2798 2815 2698 2768 2786 | ACC: -944 15484 5304 | GYRO: 969 -285 -71 | GDP=1012.535
