# label=One
# timestamp=1763139594.5267208
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2718 0 2473 2367 2413 | ACC: 2116 11396 11908 | GYRO: 95 -1273 -145 | GDP=1284.749
FLEX: 2730 0 2474 2368 2414 | ACC: 2336 11256 11540 | GYRO: -70 280 -444 | GDP=529.562
FLEX: 2707 0 2476 2353 2404 | ACC: 1120 11308 11144 | GYRO: -592 2005 -596 | GDP=2173.869
FLEX: 2725 0 2475 2400 2416 | ACC: -236 11540 12116 | GYRO: -816 2750 1031 | GDP=3048.166
FLEX: 2720 0 2463 2382 2411 | ACC: 76 12600 12608 | GYRO: -1284 3389 2926 | GDP=4657.838
FLEX: 2764 0 2496 2431 2449 | ACC: 964 10828 12748 | GYRO: -2113 1700 4381 | GDP=5152.468
FLEX: 2747 0 2522 2448 2455 | ACC: 1348 10624 13000 | GYRO: -1483 5525 3689 | GDP=6806.881
FLEX: 2800 0 2549 2475 2487 | ACC: 1112 10664 13268 | GYRO: 4 3492 4288 | GDP=5530.011
FLEX: 2777 0 2529 2480 2544 | ACC: 1752 10156 12936 | GYRO: 1048 3518 4626 | GDP=5905.464
FLEX: 2810 0 2517 2487 2551 | ACC: 1656 10292 12696 | GYRO: 583 2340 4868 | GDP=5432.579
FLEX: 2775 0 2534 2497 2603 | ACC: 1624 10440 12988 | GYRO: 1027 3495 4305 | GDP=5639.396
FLEX: 2815 0 2549 2535 2606 | ACC: 1160 10568 13472 | GYRO: 439 2997 3758 | GDP=4826.727
FLEX: 2799 0 2559 2559 2613 | ACC: 1232 10548 13716 | GYRO: 755 3661 2761 | GDP=4647.157
FLEX: 2786 0 2688 2612 2624 | ACC: 944 10564 14652 | GYRO: 3453 2432 2859 | GDP=5100.168
FLEX: 2755 0 2642 2592 2593 | ACC: 2716 10332 13192 | GYRO: 5167 1997 2060 | GDP=5910.118
FLEX: 2801 0 2641 2624 2606 | ACC: 2384 11024 11544 | GYRO: 4508 3204 1251 | GDP=5670.333
FLEX: 2766 0 2635 2592 2545 | ACC: 2240 10872 12100 | GYRO: 4199 3352 718 | GDP=5420.611
FLEX: 2768 0 2663 2559 2596 | ACC: 2676 11824 10304 | GYRO: 3678 2141 -438 | GDP=4278.248
FLEX: 2793 0 2588 2559 2539 | ACC: 1952 12392 9752 | GYRO: 1401 1722 -1442 | GDP=2647.159
FLEX: 2798 0 2631 2608 2581 | ACC: 1440 11864 9532 | GYRO: -1714 1475 -2377 | GDP=3280.785
FLEX: 2800 0 2587 2541 2554 | ACC: 560 11684 10508 | GYRO: -4525 1208 -3828 | GDP=6048.840
FLEX: 2807 0 2619 2529 2587 | ACC: -1252 11236 13064 | GYRO: -5305 313 -2647 | GDP=5936.969
FLEX: 2785 0 2559 2523 2539 | ACC: -912 10112 13620 | GYRO: -602 -1837 -1558 | GDP=2482.808
FLEX: 2781 0 2626 2559 2545 | ACC: -1196 10296 13580 | GYRO: -282 -1399 -1697 | GDP=2217.326
FLEX: 2779 0 2559 2517 2534 | ACC: -680 10616 12940 | GYRO: 1284 -2209 -1026 | GDP=2753.364
FLEX: 2780 0 2628 2592 2555 | ACC: -444 11164 12616 | GYRO: 232 -2617 -1337 | GDP=2947.895
