# label=One
# timestamp=1763135360.6669855
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2799 0 2502 2492 2507 | ACC: 532 10840 12576 | GYRO: -210 293 347 | GDP=500.358
FLEX: 2807 0 2627 2514 2865 | ACC: 564 10624 12412 | GYRO: -516 535 227 | GDP=777.181
FLEX: 2794 0 2512 2455 2559 | ACC: 468 10772 12484 | GYRO: -344 269 334 | GDP=549.775
FLEX: 2818 0 2527 2538 2869 | ACC: 732 10324 12788 | GYRO: -175 -28 102 | GDP=204.482
FLEX: 2768 0 2503 2608 2495 | ACC: -40 10540 13176 | GYRO: -144 -21 -57 | GDP=156.288
FLEX: 2767 0 2583 2445 2847 | ACC: 384 10432 12548 | GYRO: -13 -532 157 | GDP=554.835
FLEX: 2801 0 2519 2464 2485 | ACC: -212 10720 12404 | GYRO: -475 215 302 | GDP=602.540
FLEX: 2809 0 2588 2544 2831 | ACC: 160 9888 12616 | GYRO: -337 465 457 | GDP=733.923
FLEX: 2774 0 2491 2515 2527 | ACC: 368 10636 12740 | GYRO: -1626 436 657 | GDP=1807.103
FLEX: 2777 0 2559 2535 2866 | ACC: 828 10052 13276 | GYRO: -1666 -512 676 | GDP=1869.405
FLEX: 2785 0 2510 2526 2483 | ACC: 1168 9352 13408 | GYRO: -939 1640 -90 | GDP=1891.936
FLEX: 2800 0 2559 2597 2873 | ACC: 368 9796 14324 | GYRO: -402 -325 -46 | GDP=518.985
FLEX: 2789 0 2522 2479 2527 | ACC: 848 9376 14164 | GYRO: 344 940 -653 | GDP=1195.134
FLEX: 2737 0 2609 2635 2903 | ACC: 336 9732 13676 | GYRO: 647 541 -517 | GDP=989.232
FLEX: 2762 0 2511 2534 2522 | ACC: 1012 9496 12692 | GYRO: 1188 4229 -1839 | GDP=4762.111
FLEX: 2753 0 2544 2591 2880 | ACC: -1164 9848 13536 | GYRO: 206 2827 -1426 | GDP=3172.986
FLEX: 2767 0 2480 2507 2517 | ACC: -328 9428 12216 | GYRO: -728 9002 -2734 | GDP=9436.140
FLEX: 2768 0 2610 2559 2891 | ACC: -2416 9712 13544 | GYRO: -1027 6774 -2214 | GDP=7200.250
FLEX: 2842 0 2503 2490 2531 | ACC: -2652 9092 13376 | GYRO: -1075 8857 -2762 | GDP=9339.738
FLEX: 2784 0 2527 2675 2829 | ACC: -3972 8904 13892 | GYRO: -607 8565 -2305 | GDP=8890.483
FLEX: 2750 0 2515 2530 2448 | ACC: -1788 8828 10724 | GYRO: -1684 12019 -3229 | GDP=12558.609
FLEX: 2765 0 2601 2555 2891 | ACC: -7672 8292 14412 | GYRO: -1138 13298 -3890 | GDP=13901.940
FLEX: 2791 0 2517 2547 2490 | ACC: -6896 8064 11112 | GYRO: -1784 14160 -3818 | GDP=14773.807
FLEX: 2751 0 2583 2615 2855 | ACC: -7852 7288 9956 | GYRO: -1887 16421 -4839 | GDP=17222.832
FLEX: 2784 0 2448 2482 2448 | ACC: -10612 6696 11596 | GYRO: -1434 11001 -3849 | GDP=11742.791
FLEX: 2783 0 2559 2586 2835 | ACC: -13144 6880 10712 | GYRO: -1253 17412 -4309 | GDP=17980.969
FLEX: 2761 0 2507 2529 2425 | ACC: -12552 5920 8492 | GYRO: -108 14622 -3702 | GDP=15083.744
FLEX: 2768 0 2553 2592 2864 | ACC: -13724 5836 6400 | GYRO: -718 17972 -4082 | GDP=18443.725
FLEX: 2774 0 2497 2501 2531 | ACC: -14484 5156 5032 | GYRO: -482 17236 -3881 | GDP=17674.109
FLEX: 2782 0 2584 2559 2785 | ACC: -16332 5412 5296 | GYRO: -164 9082 -2149 | GDP=9334.229
FLEX: 2722 0 2478 2525 2506 | ACC: -14884 4636 2488 | GYRO: -392 11293 -2595 | GDP=11593.944
FLEX: 2811 0 2587 2559 2919 | ACC: -16552 4752 2984 | GYRO: 160 3225 -943 | GDP=3363.848
FLEX: 2747 0 2512 2514 2493 | ACC: -18068 4796 4032 | GYRO: 1194 -2502 1271 | GDP=3049.767
FLEX: 2730 0 2586 2556 2922 | ACC: -12388 4584 -896 | GYRO: 1214 -10123 3772 | GDP=10870.921
FLEX: 2739 0 2481 2465 2483 | ACC: -18596 5064 6220 | GYRO: 753 -3443 2323 | GDP=4221.088
FLEX: 2767 0 2525 2528 2837 | ACC: -13340 5344 2336 | GYRO: 1663 -11658 3840 | GDP=12386.288
FLEX: 2781 0 2477 2538 2513 | ACC: -17596 6232 7880 | GYRO: 2043 -18072 5718 | GDP=19064.799
FLEX: 2721 0 2644 2624 2832 | ACC: -11208 6552 4180 | GYRO: 482 -20825 7238 | GDP=22052.246
FLEX: 2765 0 2474 2526 2482 | ACC: -13656 6228 10660 | GYRO: 844 -18418 5979 | GDP=19382.557
FLEX: 2793 0 2559 2559 3033 | ACC: -6540 7876 6028 | GYRO: 625 -17809 5346 | GDP=18604.592
FLEX: 2799 0 2445 2555 2487 | ACC: -9832 8084 12872 | GYRO: -359 -17110 6518 | GDP=18312.982
FLEX: 2800 0 2559 2588 2810 | ACC: -5860 7836 11908 | GYRO: -523 -18203 7054 | GDP=19528.996
FLEX: 2756 0 2503 2496 2464 | ACC: -6812 8224 15040 | GYRO: 802 -24279 7565 | GDP=25442.922
FLEX: 2757 0 2607 2555 2868 | ACC: 1224 8908 9960 | GYRO: -393 -22614 7444 | GDP=23810.934
FLEX: 2764 0 2455 2480 2512 | ACC: -1036 8648 16464 | GYRO: -1140 -13694 5548 | GDP=14819.094
FLEX: 2768 0 2502 2605 2866 | ACC: 4716 7820 12568 | GYRO: 24 -21269 5623 | GDP=21999.752
