# label=P
# timestamp=1765871973.2582822
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2101 2627 2357 2894 2864 | ACC: -6912 6640 14080 | GYRO: 58 -1003 246 | GDP=1034.354
FLEX: 2377 2615 2379 2878 2855 | ACC: -6528 6472 14096 | GYRO: 537 -868 71 | GDP=1023.149
FLEX: 2117 2586 2375 2896 2881 | ACC: -5868 6600 14008 | GYRO: 261 -829 145 | GDP=881.128
FLEX: 2432 2609 2372 2863 2887 | ACC: -5856 6484 14200 | GYRO: 885 -628 -306 | GDP=1127.495
FLEX: 2099 2608 2399 2848 2882 | ACC: -6320 6720 13592 | GYRO: 341 -860 -106 | GDP=931.191
FLEX: 2448 2608 2368 2885 2890 | ACC: -6140 6736 14220 | GYRO: 552 -187 -289 | GDP=650.534
FLEX: 2046 2583 2384 2880 2882 | ACC: -6980 6584 13944 | GYRO: 426 -75 -140 | GDP=454.644
FLEX: 2474 2587 2365 2855 2830 | ACC: -6640 6232 14232 | GYRO: 596 -379 163 | GDP=724.863
FLEX: 2032 2608 2368 2823 2863 | ACC: -6988 6372 14228 | GYRO: 540 90 385 | GDP=669.272
FLEX: 2466 2624 2360 2874 2849 | ACC: -6264 6568 13932 | GYRO: 212 -833 539 | GDP=1014.571
FLEX: 2063 2608 2407 2862 2845 | ACC: -6180 6556 14144 | GYRO: 277 -544 504 | GDP=791.632
FLEX: 2455 2607 2359 2880 2859 | ACC: -6036 6336 14292 | GYRO: 442 -66 197 | GDP=488.394
FLEX: 2031 2627 2347 2867 2866 | ACC: -6108 6544 14556 | GYRO: 743 -522 823 | GDP=1225.505
FLEX: 2489 2608 2384 2865 2864 | ACC: -5856 6228 14600 | GYRO: 2306 634 1374 | GDP=2758.164
FLEX: 2016 2589 2369 2865 2804 | ACC: -5944 6600 14328 | GYRO: 2531 2935 746 | GDP=3946.733
FLEX: 2543 2606 2363 2878 2853 | ACC: -6324 7156 13980 | GYRO: 2174 699 533 | GDP=2344.987
FLEX: 1982 2608 2379 2871 2852 | ACC: -5636 7200 13564 | GYRO: 2588 1879 362 | GDP=3218.607
FLEX: 2597 2624 2359 2879 2857 | ACC: -6540 7456 13260 | GYRO: 1207 249 76 | GDP=1234.757
FLEX: 2027 2606 2394 2847 2879 | ACC: -6320 7324 13356 | GYRO: 1316 44 293 | GDP=1348.941
