# label=Rest
# timestamp=1763135426.6202857
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2451 2036 2221 2192 2177 | ACC: -1876 10852 13780 | GYRO: 4579 3140 -1123 | GDP=5664.624
FLEX: 2416 2035 2237 2213 2240 | ACC: -160 11412 10808 | GYRO: 5561 3952 -2045 | GDP=7122.152
FLEX: 2446 2071 2257 2241 2333 | A106 670 | GDP=1312.884
FLEX: 2449 2117 2272 2224 2387 | ACC: -5428 10776 10616 | GYRO: -1865 3551 1115 | GDP=4163.058
FLEX: 2453 2101 2262 2258 2359 | ACC: -5872 10960 9916 | GYRO: -6747 7729 1535 | GDP=10373.798
FLEX: 2439 2078 2221 2160 2330 | ACC: -4176 8636 9684 | GYRO: -7798 15379 -11 | GDP=17243.045
FLEX: 2462 2096 2235 2192 2336 | ACC: -9152 9280 11408 | GYRO: -3018 25997 -2795 | GDP=26320.418
FLEX: 2457 2070 2224 2125 2348 | ACC: -11140 9212 9852 | GYRO: -5582 16806 -1998 | GDP=17821.121
FLEX: 2469 2079 2218 2208 2320 | ACC: -11800 7940 9588 | GYRO: -6376 12887 -147 | GDP=14378.796
FLEX: 2447 2103 2226 2205 2349 | ACC: -12544 7440 9964 | GYRO: -4903 4748 -229 | GDP=6829.008
FLEX: 2438 2106 2249 2242 2370 | ACC: -12064 7760 9440 | GYRO: -4309 -5372 1248 | GDP=6998.812
FLEX: 2446 2106 2259 2183 2323 | ACC: -10928 7240 10220 | GYRO: -5805 -10747 2141 | GDP=12400.803
FLEX: 2457 2139 2253 2256 2352 | ACC: -8568 6148 10428 | GYRO: -5769 -8898 2070 | GDP=10804.659
FLEX: 2447 2127 2229 2192 2335 | ACC: -11540 5464 15544 | GYRO: -878 -9993 -132 | GDP=10032.365
FLEX: 2448 2128 2257 2239 2366 | ACC: -9568 6848 13116 | GYRO: 1223 -25111 1117 | GDP=25165.566
FLEX: 2448 2128 2251 2190 2342 | ACC: -8620 6540 15492 | GYRO: 2866 -32768 1433 | GDP=32924.297
FLEX: 2459 2123 2242 2264 2365 | ACC: -64 7988 10852 | GYRO: 4442 -32768 2647 | GDP=33173.480
FLEX: 2426 2122 2251 2225 2348 | ACC: 4444 8012 10264 | GYRO: 2065 -5977 2251 | GDP=6712.358
FLEX: 2451 2159 2248 2257 2355 | ACC: 944 7756 16232 | GYRO: 940 -4598 1874 | GDP=5053.422
FLEX: 2457 2118 2259 2206 2341 | ACC: 3836 7360 12812 | GYRO: 457 -4427 2177 | GDP=4954.443
FLEX: 2461 2149 2317 2229 2356 | ACC: 2312 7464 14916 | GYRO: 1 996 779 | GDP=1264.460
FLEX: 2427 2125 2268 2243 2336 | ACC: 2756 7292 14960 | GYRO: 602 -3425 257 | GDP=3486.987
FLEX: 2453 2143 2258 2256 2368 | ACC: 2740 6976 14900 | GYRO: 813 -1362 -632 | GDP=1707.465
