# label=T
# timestamp=1765872666.7150803
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2235 2976 2671 2906 3130 | ACC: -5088 13200 -9768 | GYRO: 849 -75 99 | GDP=858.037
FLEX: 2156 2983 2789 2896 2958 | ACC: -4760 12668 -9608 | GYRO: 90 -585 15 | GDP=592.073
FLEX: 2253 2971 2786 3030 2941 | ACC: -4712 12232 -9024 | GYRO: 289 -204 63 | GDP=359.313
FLEX: 2155 3036 2783 2890 2960 | ACC: -5092 12796 -8860 | GYRO: -896 -301 39 | GDP=946.012
FLEX: 2256 2997 2787 2908 2928 | ACC: -4728 12744 -9164 | GYRO: 289 -101 239 | GDP=388.385
FLEX: 2162 2995 2821 2908 2951 | ACC: -4488 13168 -8840 | GYRO: -32 -47 274 | GDP=279.837
FLEX: 2256 2982 2766 2900 2939 | ACC: -4184 12812 -9012 | GYRO: -175 -804 -383 | GDP=907.596
FLEX: 2145 2975 2791 2919 2966 | ACC: -4452 12724 -8420 | GYRO: -258 -976 -692 | GDP=1223.930
FLEX: 2245 2967 2737 2937 2825 | ACC: -5076 12600 -8352 | GYRO: -32 -755 -746 | GDP=1061.869
FLEX: 2131 2986 2761 2894 2933 | ACC: -5060 12780 -8188 | GYRO: 243 -41 -559 | GDP=610.910
FLEX: 2253 2977 2923 2915 2921 | ACC: -5440 13600 -8672 | GYRO: 276 120 -642 | GDP=709.042
FLEX: 2167 2962 2768 2911 2963 | ACC: -5400 13224 -8864 | GYRO: -131 -308 -273 | GDP=431.919
FLEX: 2228 2975 2797 2879 2926 | ACC: -5520 12840 -8224 | GYRO: -306 -57 -61 | GDP=317.184
FLEX: 2183 2977 2781 2886 2929 | ACC: -5372 12712 -7900 | GYRO: 401 70 379 | GDP=556.185
FLEX: 2246 2950 2799 2781 2933 | ACC: -5316 12812 -7608 | GYRO: 542 619 512 | GDP=969.056
FLEX: 2163 2992 2770 2896 2959 | ACC: -5100 13040 -7916 | GYRO: 662 -128 -241 | GDP=716.037
FLEX: 2251 2987 2777 2886 2949 | ACC: -5308 13000 -7600 | GYRO: 414 -59 -47 | GDP=420.816
FLEX: 2166 2976 2805 2875 2946 | ACC: -4912 13048 -8116 | GYRO: 811 405 54 | GDP=908.109
FLEX: 2228 2976 2779 2899 2944 | ACC: -5172 13080 -8304 | GYRO: 946 328 85 | GDP=1004.851
FLEX: 2160 2974 2789 2890 2903 | ACC: -5168 12944 -8124 | GYRO: 964 -26 -107 | GDP=970.268
FLEX: 2237 2992 2777 2861 2965 | ACC: -5080 13080 -8772 | GYRO: 775 134 -84 | GDP=790.972
FLEX: 2153 2973 2768 2863 2928 | ACC: -5508 13068 -8268 | GYRO: 216 -318 -124 | GDP=403.926
FLEX: 2225 2976 2800 2895 2928 | ACC: -5356 13140 -8000 | GYRO: 156 189 122 | GDP=273.754
FLEX: 2161 2966 2752 2896 2935 | ACC: -5160 13232 -8084 | GYRO: 374 -3 207 | GDP=427.474
FLEX: 2224 2950 2682 2881 2983 | ACC: -4932 13048 -8076 | GYRO: 222 -40 85 | GDP=241.058
FLEX: 2160 2925 2800 2928 2864 | ACC: -4800 13064 -8284 | GYRO: 626 -64 169 | GDP=651.562
