# label=Three
# timestamp=1763135405.1698296
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2603 0 2173 1939 2610 | ACC: 4940 6700 14356 | GYRO: 447 6 337 | GDP=559.834
FLEX: 2607 0 2160 1911 2758 | ACC: 5140 6552 14316 | GYRO: 337 304 156 | GDP=479.918
FLEX: 2609 0 2160 1914 2587 | ACC: 5296 6636 14248 | GYRO: 323| ACC: 2228 11680 11728 | GYRO: 210 -327 440 | GDP=587.051
FLEX: 2449 2055 2160 1977 2930 | ACC: 2256 11544 11848 | GYRO: 469 -1119 382 | GDP=1272.024
FLEX: 2448 2082 2176 2013 2550 | ACC: 2016 11448 12036 | GYRO: 562 -593 326 | GDP=879.641
FLEX: 2432 2030 2187 2023 2879 | ACC: 2084 11716 11704 | GYRO: 608 -201 -162 | GDP=660.537
FLEX: 2454 2067 2158 2014 2545 | ACC: 1884 11520 11656 | GYRO: 156 -262 -62 | GDP=311.166
FLEX: 2451 2057 2188 2018 2909 | ACC: 1972 12044 11284 | GYRO: -796 -1359 1032 | GDP=1882.955
FLEX: 2449 2065 2192 1982 2553 | ACC: 1884 11260 12488 | GYRO: -2117 -1248 1582 | GDP=2922.656
FLEX: 2436 2057 2170 1984 2848 | ACC: 2432 11060 11812 | GYRO: -1822 -960 2042 | GDP=2900.181
FLEX: 2463 2041 2176 1971 2535 | ACC: 2296 10444 12344 | GYRO: -3046 1170 2161 | GDP=3913.686
FLEX: 2467 2038 2153 2005 2864 | ACC: 3716 10376 12384 | GYRO: -3878 -794 1257 | GDP=4153.236
FLEX: 2480 2041 2164 1950 2534 | ACC: 3092 10080 12884 | GYRO: -3025 137 1042 | GDP=3202.368
FLEX: 2480 2033 2147 1935 2837 | ACC: 2192 9148 14744 | GYRO: -3376 -186 1578 | GDP=3731.227
FLEX: 2473 2079 2171 1883 2517 | ACC: 3580 9248 13504 | GYRO: -3228 -1256 576 | GDP=3511.310
FLEX: 2448 0 2144 1919 2864 | ACC: 3564 8892 14244 | GYRO: -2138 -2151 186 | GDP=3038.493
FLEX: 2464 0 2154 1904 2529 | ACC: 3816 8328 13956 | GYRO: -475 -1122 -246 | GDP=1242.990
FLEX: 2455 0 2127 1905 2850 | ACC: 3580 8876 14016 | GYRO: 354 -565 -206 | GDP=697.837
FLEX: 2463 0 2155 1904 2510 | ACC: 3904 8552 13612 | GYRO: -51 174 13 | GDP=181.786
FLEX: 2450 0 2159 1904 2837 | ACC: 3916 8352 13376 | GYRO: -670 -876 -51 | GDP=1104.028
FLEX: 2480 0 2170 1872 2512 | ACC: 3620 8156 14188 | GYRO: -1000 -973 324 | GDP=1432.377
FLEX: 2448 0 2128 1904 2868 | ACC: 3848 8096 14684 | GYRO: 361 -826 325 | GDP=958.239
FLEX: 2483 0 2160 1903 2481 | ACC: 3840 8516 14060 | GYRO: 711 -377 108 | GDP=811.982
FLEX: 2451 0 2135 1898 2827 | ACC: 4140 8584 13444 | GYRO: 477 -393 429 | GDP=752.342
FLEX: 2495 0 2151 1904 2518 | ACC: 4180 8372 13708 | GYRO: 343 97 157 | GDP=389.496
FLEX: 2457 0 2140 1911 2793 | ACC: 4660 8080 13936 | GYRO: 498 97 -110 | GDP=519.146
FLEX: 2479 0 2147 1895 2486 | ACC: 4044 8040 14044 | GYRO: 701 173 -452 | GDP=851.842
FLEX: 2475 0 2129 1920 2831 | ACC: 3420 8316 13864 | GYRO: 780 148 -261 | GDP=835.718
FLEX: 2467 0 2157 1915 2543 | ACC: 3408 8404 13884 | GYRO: 884 -634 122 | GDP=1094.667
FLEX: 2455 0 2151 1895 2791 | ACC: 3804 8336 13752 | GYRO: 868 -403 464 | GDP=1063.546
FLEX: 2477 0 2148 1904 2529 | ACC: 4076 8248 13808 | GYRO: 794 -620 691 | GDP=1221.604
FLEX: 2443 0 2141 1920 2835 | ACC: 4528 8100 13676 | GYRO: 13 41 820 | GDP=821.127
FLEX: 2469 0 2160 1920 2503 | ACC: 5120 7660 13748 | GYRO: 275 -296 336 | GDP=525.487
FLEX: 2475 0 2144 1907 2837 | ACC: 4232 8052 13776 | GYRO: 337 551 -202 | GDP=676.738
FLEX: 2481 0 2163 1895 2493 | ACC: 3964 8072 13792 | GYRO: 182 439 -123 | GDP=490.891
FLEX: 2463 0 2153 1898 2827 | ACC: 3612 8056 14148 | GYRO: 500 -289 5 | GDP=577.534
FLEX: 2458 0 2160 1913 2510 | ACC: 3980 8176 14016 | GYRO: 507 -421 344 | GDP=743.388
FLEX: 2455 0 2140 1908 2781 | ACC: 4184 8192 13708 | GYRO: 605 -160 498 | GDP=799.768
FLEX: 2453 0 2149 1921 2498 | ACC: 4328 7872 14316 | GYRO: 399 52 675 | GDP=785.831
FLEX: 2482 0 2128 1908 2819 | ACC: 4812 7932 13960 | GYRO: 619 -312 180 | GDP=716.174
FLEX: 2484 0 2158 1905 2467 | ACC: 4720 7888 13924 | GYRO: 788 301 -227 | GDP=873.541
FLEX: 2419 0 2150 1888 2832 | ACC: 4100 8052 14000 | GYRO: 901 199 -452 | GDP=1027.476
FLEX: 2447 0 2141 1888 2483 | ACC: 3900 8096 13728 | GYRO: 306 335 -56 | GDP=457.162
FLEX: 2475 0 2128 1907 2833 | ACC: 4036 8116 13776 | GYRO: 350 -420 161 | GDP=569.931
FLEX: 2477 0 2160 1919 2496 | ACC: 4164 8224 13888 | GYRO: 459 -213 440 | GDP=670.559
FLEX: 2475 0 2133 1887 2775 | ACC: 4608 7940 14100 | GYRO: 649 10 477 | GDP=805.500
FLEX: 2463 0 2154 1918 2527 | ACC: 5472 7744 13972 | GYRO: 956 805 278 | GDP=1280.330
FLEX: 2453 0 2151 1905 2819 | ACC: 7236 7696 11688 | GYRO: 1734 13254 -975 | GDP=13402.458
FLEX: 2458 0 2146 1895 2496 | ACC: 3584 7876 12904 | GYRO: 2668 27360 -2482 | GDP=27601.596
FLEX: 2451 0 2154 1930 2790 | ACC: -624 8340 10060 | GYRO: 3359 32767 -2757 | GDP=33053.898
FLEX: 2453 0 2165 1919 2501 | ACC: -8688 8584 10576 | GYRO: 3682 32767 -2150 | GDP=33043.242
FLEX: 2451 0 2163 1885 2807 | ACC: -12740 8440 10700 | GYRO: 3345 32767 45 | GDP=32937.324
FLEX: 2471 0 2144 1914 2512 | ACC: -13244 9248 6816 | GYRO: 3279 19247 335 | GDP=19527.187
