# label=Two
# timestamp=1763139215.447394
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
FLEX: 2675 0 2160 2339 2149 | ACC: -8976 6084 14812 | GYRO: 945 2903 -1343 | GDP=3335.279
FLEX: 2689 0 2167 2765 2944 | ACC: -8200 5812 12980 | GYRO: 484 1142 -285 | GDP=1272.653
FLEX: 2672 0 2157 2354 2158 | ACC: -8060 5784 12548 | GYRO: -44 60 407 | GDP=413.745
FLEX: 2690 0 2147 2769 2963 | ACC: -8532 5428 12716 | GYRO: -1042 3229 726 | GDP=3469.767
FLEX: 2670 0 2149 2314 2115 | ACC: -8588 4800 13816 | GYRO: -537 -1639 607 | GDP=1828.425
FLEX: 2673 0 2174 2791 2945 | ACC: -7984 5544 13392 | GYRO: -364 -1332 357 | GDP=1426.243
FLEX: 2653 0 2183 2337 2099 | ACC: -7512 4960 13520 | GYRO: -225 -1035 337 | GDP=1111.494
FLEX: 2671 0 2165 2623 2917 | ACC: -8232 5496 14552 | GYRO: -106 -1196 478 | GDP=1292.337
FLEX: 2676 0 2130 2322 2138 | ACC: -6848 4432 16884 | GYRO: 1776 -3471 258 | GDP=3907.503
FLEX: 2723 0 2127 2719 2834 | ACC: -5468 5588 15296 | GYRO: 4238 -167 -1015 | GDP=4361.050
FLEX: 2634 0 2115 2289 2115 | ACC: -7328 5904 14192 | GYRO: 4670 58 -125 | GDP=4672.033
FLEX: 2715 0 2139 2747 2864 | ACC: -8224 5940 12548 | GYRO: 4880 -6499 115 | GDP=8128.015
FLEX: 2692 0 2067 2370 2080 | ACC: -6820 6944 10316 | GYRO: 2277 -7569 -895 | GDP=7954.591
FLEX: 2677 0 2174 2710 2854 | ACC: -6672 7072 10784 | GYRO: -42 527 -639 | GDP=829.346
FLEX: 2689 0 2181 2436 2193 | ACC: -7720 6164 14772 | GYRO: -1183 -220 433 | GDP=1278.819
FLEX: 2663 0 2148 2709 2796 | ACC: -5612 6180 13644 | GYRO: -938 479 589 | GDP=1206.734
FLEX: 2691 0 2161 2448 2230 | ACC: -6416 5528 15472 | GYRO: -295 433 220 | GDP=568.255
FLEX: 2682 0 2161 2658 2704 | ACC: -5948 5808 15148 | GYRO: 1634 -1345 -267 | GDP=2133.136
FLEX: 2677 0 2166 2427 2265 | ACC: -5608 6144 13708 | GYRO: 1915 265 -918 | GDP=2140.134
FLEX: 2682 0 2148 2661 2637 | ACC: -6608 6564 13144 | GYRO: 1057 1358 -800 | GDP=1897.739
FLEX: 2652 0 2145 2442 2323 | ACC: -6704 6892 13160 | GYRO: 268 -291 -261 | GDP=473.947
FLEX: 2671 0 2189 2634 2641 | ACC: -6720 6244 14152 | GYRO: -667 -1089 434 | GDP=1348.765
FLEX: 2693 0 2139 2448 2349 | ACC: -5800 5632 14204 | GYRO: -180 -1304 463 | GDP=1395.416
FLEX: 2656 0 2145 2593 2631 | ACC: -6096 5732 13812 | GYRO: -52 66 -59 | GDP=102.669
FLEX: 2665 0 2162 2480 2410 | ACC: -6752 5824 13968 | GYRO: -186 -65 427 | GDP=470.266
FLEX: 2671 0 2162 2559 2594 | ACC: -6548 5736 14168 | GYRO: 256 -752 46 | GDP=795.711
FLEX: 2686 0 2173 2495 2418 | ACC: -6516 5828 14180 | GYRO: -174 -1252 678 | GDP=1434.386
FLEX: 2683 0 2163 2531 2495 | ACC: -5784 5744 14468 | GYRO: -142 -2161 571 | GDP=2239.671
FLEX: 2685 0 2160 2526 2462 | ACC: -5480 5920 14372 | GYRO: -336 -2188 213 | GDP=2223.873
FLEX: 2683 0 2159 2503 2451 | ACC: -5020 5604 14672 | GYRO: -207 -1938 281 | GDP=1969.176
FLEX: 2687 0 2172 2541 2470 | ACC: -5020 5900 14832 | GYRO: -367 -1625 113 | GDP=1669.755
FLEX: 2678 0 2147 2500 2431 | ACC: -4972 5512 14500 | GYRO: -1827 -1665 1396 | GDP=2838.833
FLEX: 2709 0 2144 2627 2553 | ACC: -4860 5360 15540 | GYRO: -372 -1827 1015 | GDP=2122.861
FLEX: 2703 0 2128 2495 2365 | ACC: -4376 5108 14608 | GYRO: 623 -1193 1090 | GDP=1731.900
FLEX: 2689 0 2143 2609 2591 | ACC: -4236 5032 15180 | GYRO: 758 -1018 -162 | GDP=1279.505
FLEX: 2679 0 2131 2525 2311 | ACC: -3956 5400 14392 | GYRO: 321 1731 1630 | GDP=2399.229
FLEX: 2683 0 2160 2635 2624 | ACC: -4856 5716 14956 | GYRO: 859 2624 850 | GDP=2888.902
FLEX: 2698 0 2173 2490 2335 | ACC: -4852 5020 14944 | GYRO: -881 1797 2725 | GDP=3380.975
FLEX: 2699 0 2155 2639 2640 | ACC: -5280 5344 15740 | GYRO: 716 -155 293 | GDP=789.006
FLEX: 2675 0 2182 2439 2286 | ACC: -4672 5060 14832 | GYRO: 1014 6443 1744 | GDP=6751.443
FLEX: 2711 0 2172 2672 2691 | ACC: -7196 5272 15908 | GYRO: 2017 10333 2801 | GDP=10894.254
FLEX: 2683 0 2154 2397 2257 | ACC: -8820 5712 15368 | GYRO: 3990 12808 5294 | GDP=14421.906
FLEX: 2690 0 2157 2730 2821 | ACC: -10248 6492 13652 | GYRO: 5012 16991 8273 | GDP=19551.387
FLEX: 2678 0 2158 2411 2254 | ACC: -11760 8508 11204 | GYRO: 6623 28523 9726 | GDP=30854.834
FLEX: 2718 0 2163 2691 2791 | ACC: -16580 11760 10600 | GYRO: 4934 26741 12425 | GDP=29896.590
FLEX: 2672 0 2179 2386 2226 | ACC: -13344 11452 9000 | GYRO: 1359 6052 13638 | GDP=14982.277
FLEX: 2703 0 2160 2704 2773 | ACC: -9800 10872 7416 | GYRO: -1091 9184 13486 | GDP=16352.625
FLEX: 2672 0 2163 2383 2192 | ACC: -9684 10800 7948 | GYRO: -281 7292 11957 | GDP=14007.929
