# sentence_label=How are you?
# timestamp=1763200485.2153697
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=79
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2415 2559 2537 2543 2559 | ACC: -2432 4452 -1252 | GYRO: -16113 21173 -32768 | GDP=42209.793
FLEX: 2406 2559 2545 2540 2614 | ACC: -17200 -12216 16944 | GYRO: -19363 32550 -27901 | GDP=47041.410
FLEX: 2402 2559 2549356 9308 9544 | GYRO: 1758 2170 -566 | GDP=2849.530
FLEX: 2518 2609 2608 2480 2559 | ACC: -19484 10580 8404 | GYRO: 2867 -8143 11895 | GDP=14697.591
FLEX: 2506 2603 2640 2510 2611 | ACC: -14848 9708 7508 | GYRO: 2501 -20988 20457 | GDP=29414.963
FLEX: 2473 2559 2643 2496 2613 | ACC: -6752 9868 2464 | GYRO: 3289 -16488 20394 | GDP=26430.795
FLEX: 2468 2559 2619 2521 2639 | ACC: -7688 11024 8292 | GYRO: 3552 -15155 23589 | GDP=28261.842
FLEX: 2451 2559 2646 2516 2619 | ACC: -1976 10604 5040 | GYRO: 3200 -14121 24938 | GDP=28836.549
FLEX: 2455 2559 2646 2487 2639 | ACC: 2024 10264 5672 | GYRO: 2719 -9263 23106 | GDP=25041.633
FLEX: 2426 2559 2655 2522 2638 | ACC: 5524 10584 4220 | GYRO: 3101 -3669 20227 | GDP=20789.645
FLEX: 2402 2602 2661 2538 2663 | ACC: 8060 10104 4936 | GYRO: 544 -619 15804 | GDP=15825.471
FLEX: 2398 2557 2640 2530 2624 | ACC: 8088 11272 5284 | GYRO: 40 7548 11575 | GDP=13818.630
FLEX: 2405 2599 2663 2539 2627 | ACC: 5908 11268 9332 | GYRO: -295 9596 10036 | GDP=13888.540
FLEX: 2379 2559 2640 2507 2624 | ACC: 11996 10596 7316 | GYRO: 1270 10930 7557 | GDP=13348.635
FLEX: 2498 2559 2663 2547 2610 | ACC: 32767 5928 -2184 | GYRO: -7666 5008 -6746 | GDP=11373.483
FLEX: 2458 2558 2644 2540 2627 | ACC: -1296 16224 16036 | GYRO: -444 -958 -3306 | GDP=3470.524
FLEX: 2471 2559 2646 2538 2622 | ACC: 9580 12396 9228 | GYRO: 1743 -1551 -419 | GDP=2370.488
FLEX: 2463 2550 2634 2518 2646 | ACC: 8748 11496 9480 | GYRO: 3806 -1978 -2680 | GDP=5057.719
FLEX: 2433 2545 2635 2539 2609 | ACC: 11752 13192 11252 | GYRO: 4093 -5153 -5327 | GDP=8466.580
FLEX: 2417 2548 2626 2518 2610 | ACC: 11176 14252 11020 | GYRO: 8582 -151 -11728 | GDP=14533.394
FLEX: 2430 2545 2645 2513 2624 | ACC: 2812 15432 10748 | GYRO: 11239 -7727 -13694 | GDP=19327.371
FLEX: 2397 2554 2640 2508 2605 | ACC: 2924 13496 5136 | GYRO: 14832 -1910 -12380 | GDP=19413.932
FLEX: 2416 2549 2640 2517 2559 | ACC: 736 15392 3156 | GYRO: 14050 -1681 -10889 | GDP=17854.932
FLEX: 2399 2547 2625 2522 2587 | ACC: 2084 13812 -828 | GYRO: 10127 -1281 -10011 | GDP=14297.455
FLEX: 2416 2559 2655 2512 2599 | ACC: 4700 14056 -4324 | GYRO: 3767 -1293 -13136 | GDP=13726.494
