# sentence_label=Rest
# timestamp=1763200836.414361
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=80
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 252709 53 -46 | GDP=613.030
FLEX: 2531 2274 2509 2449 2483 | ACC: -1400 4180 15664 | GYRO: 731 339 -213 | GDP=833.457
FLEX: 2542 2274 2503 2439 2501 | ACC: -2600 4264 16336 | GYRO: 685 498 -145 | GDP=859.217
FLEX: 2538 2258 2494 2448 2487 | ACC: -2176 4472  2271 2432 2397 2455 | ACC: -1180 4836 15772 | GYRO: 578 -352 196 | GDP=704.559
FLEX: 2529 2240 2431 2378 2447 | ACC: -1460 4640 15884 | GYRO: 734 173 -34 | GDP=754.878
FLEX: 2535 2255 2389 2353 2501 | ACC: -1624 5032 15764 | GYRO: 737 64 52 | GDP=741.599
FLEX: 2521 2245 2437 2410 2433 | ACC: -1176 4948 15748 | GYRO: 682 48 -27 | GDP=684.220
FLEX: 2498 2251 2429 2444 2448 | ACC: -1496 4928 15932 | GYRO: 586 243 -98 | GDP=641.910
FLEX: 2533 2256 2358 2370 2443 | ACC: -1620 4856 15956 | GYRO: 617 -317 146 | GDP=708.868
FLEX: 2522 2256 2404 2365 2469 | ACC: -1240 4988 15704 | GYRO: 563 -782 273 | GDP=1001.510
FLEX: 2496 2262 2436 2379 2464 | ACC: -1036 4988 15708 | GYRO: 678 35 -89 | GDP=684.712
FLEX: 2496 2209 2417 2391 2416 | ACC: -1636 4684 15920 | GYRO: 597 7 -82 | GDP=602.646
FLEX: 2531 2268 2448 2410 2462 | ACC: -1148 4972 15736 | GYRO: 657 -589 108 | GDP=888.951
FLEX: 2550 2303 2400 2368 2440 | ACC: -540 4788 15484 | GYRO: 739 816 -500 | GDP=1209.122
FLEX: 2470 2279 2434 2387 2444 | ACC: -1648 4884 15928 | GYRO: 778 859 -457 | GDP=1245.799
FLEX: 2523 2282 2400 2426 2458 | ACC: -1860 4728 16140 | GYRO: 745 181 -99 | GDP=773.038
FLEX: 2502 2283 2396 2407 2448 | ACC: -1460 4960 15720 | GYRO: 703 144 -55 | GDP=719.701
FLEX: 2533 2273 2381 2335 2443 | ACC: -1348 5096 15668 | GYRO: 655 372 -100 | GDP=759.874
FLEX: 2521 2256 2448 2357 2411 | ACC: -1888 4736 15960 | GYRO: 552 -62 65 | GDP=559.261
FLEX: 2512 2291 2400 2407 2477 | ACC: -1476 4924 15804 | GYRO: 638 -372 177 | GDP=759.445
FLEX: 2516 2249 2455 2397 2422 | ACC: -1572 4996 15768 | GYRO: 571 -279 189 | GDP=663.026
FLEX: 2519 2295 2397 2411 2471 | ACC: -1324 4884 15708 | GYRO: 557 -571 307 | GDP=854.716
FLEX: 2510 2257 2416 2399 2421 | ACC: -1144 4892 15704 | GYRO: 599 48 17 | GDP=601.161
FLEX: 2528 2276 2411 2395 2427 | ACC: -1444 4848 15956 | GYRO: 608 183 -75 | GDP=639.357
FLEX: 2540 2285 2435 2527 2432 | ACC: -1512 4848 15812 | GYRO: 665 156 -178 | GDP=705.865
FLEX: 2498 2221 2432 2438 2432 | ACC: -1328 4852 15672 | GYRO: 687 39 -153 | GDP=704.911
FLEX: 2544 2270 2437 2487 2471 | ACC: -1368 4788 15772 | GYRO: 743 283 -169 | GDP=812.834
FLEX: 2519 2256 2381 2388 2415 | ACC: -1624 4876 15868 | GYRO: 703 106 -52 | GDP=712.846
FLEX: 2519 2272 2362 2419 2474 | ACC: -1448 5000 15764 | GYRO: 723 -23 -88 | GDP=728.699
FLEX: 2526 2273 2403 2368 2461 | ACC: -1416 5024 15776 | GYRO: 659 -177 33 | GDP=683.154
FLEX: 2529 2290 2417 2382 2480 | ACC: -1476 4944 15872 | GYRO: 657 -121 179 | GDP=691.615
FLEX: 2526 2287 2434 2412 2465 | ACC: -1660 4920 15924 | GYRO: 550 -156 145 | GDP=589.797
FLEX: 2534 2272 2416 2386 2427 | ACC: -1100 4880 15432 | GYRO: 584 -348 205 | GDP=710.060
FLEX: 2495 2261 2436 2419 2454 | ACC: -940 4976 15444 | GYRO: 652 657 -152 | GDP=938.007
FLEX: 2534 2277 2453 2389 2434 | ACC: -1480 4492 15688 | GYRO: 903 1379 -444 | GDP=1707.099
FLEX: 2547 2246 2388 2346 2424 | ACC: -1308 4704 16296 | GYRO: 1141 2405 -556 | GDP=2719.383
FLEX: 2527 2282 2448 2406 2463 | ACC: -1864 4984 15984 | GYRO: 1686 3270 -887 | GDP=3784.477
FLEX: 2521 2227 2433 2512 2437 | ACC: -2980 5340 15892 | GYRO: 1761 3713 -1029 | GDP=4236.311
FLEX: 2523 2234 2416 2401 2448 | ACC: -3032 5244 14904 | GYRO: 1527 2392 -623 | GDP=2905.430
FLEX: 2529 2210 2417 2400 2417 | ACC: -3276 5196 15360 | GYRO: 713 1372 -359 | GDP=1587.335
FLEX: 2515 2222 2429 2379 2475 | ACC: -2736 5148 14996 | GYRO: 565 2768 -852 | GDP=2950.755
FLEX: 2528 2270 2465 2374 2417 | ACC: -3776 5176 15584 | GYRO: 1034 2956 -917 | GDP=3263.125
FLEX: 2517 2259 2402 2447 2433 | ACC: -4680 5068 16084 | GYRO: 1464 1756 -512 | GDP=2342.856
FLEX: 2535 2254 2430 2399 2458 | ACC: -4396 5452 15652 | GYRO: 1677 -1029 186 | GDP=1976.301
FLEX: 2525 2302 2409 2390 2442 | ACC: -3672 5432 14888 | GYRO: 1809 -896 332 | GDP=2045.855
FLEX: 2512 2258 2448 2434 2427 | ACC: -3584 5380 14452 | GYRO: 1449 -256 241 | GDP=1491.046
FLEX: 2523 2270 2439 2397 2471 | ACC: -4016 5752 14604 | GYRO: 773 -311 282 | GDP=879.644
FLEX: 2514 2266 2424 2404 2423 | ACC: -3784 5724 14404 | GYRO: 118 -609 445 | GDP=763.433
FLEX: 2529 2303 2432 2371 2444 | ACC: -3548 5500 15192 | GYRO: 229 -614 600 | GDP=888.503
FLEX: 2519 2332 2394 2383 2397 | ACC: -2472 5448 15804 | GYRO: 2040 -1054 916 | GDP=2472.159
FLEX: 2525 2270 2395 2386 2435 | ACC: -2552 5580 14880 | GYRO: 2360 -79 -352 | GDP=2387.414
FLEX: 2523 2270 2416 2379 2442 | ACC: -3940 5948 15156 | GYRO: 717 50 -436 | GDP=840.646
FLEX: 2531 2287 2419 2384 2443 | ACC: -4316 6160 15672 | GYRO: -149 -2544 2 | GDP=2548.360
FLEX: 2517 2255 2445 2414 2432 | ACC: -3292 5712 15308 | GYRO: 389 -3951 539 | GDP=4006.525
FLEX: 2523 2269 2451 2403 2423 | ACC: -2512 5588 15244 | GYRO: 643 -1131 377 | GDP=1354.525
FLEX: 2511 2275 2423 2385 2445 | ACC: -2884 5928 15608 | GYRO: 1009 -1267 595 | GDP=1725.513
FLEX: 2527 2314 2437 2413 2448 | ACC: -2480 5848 15620 | GYRO: 1126 -3296 1102 | GDP=3653.204
FLEX: 2511 2286 2425 2415 2432 | ACC: -1232 5988 14240 | GYRO: 998 -3294 975 | GDP=3577.299
FLEX: 2514 2271 2441 2395 2451 | ACC: -2184 6044 15560 | GYRO: 90 -1746 518 | GDP=1823.442
FLEX: 2527 2263 2428 2395 2430 | ACC: -1104 5848 15432 | GYRO: 433 -2618 882 | GDP=2796.308
