# sentence_label=Rest
# timestamp=1763201234.6122465
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=80
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2496 2142 2265 2224 2226 | ACC: 1884 1886 11643 10 | GDP=13046.246
FLEX: 2497 2327 2461 2386 2429 | ACC: -780 12752 10680 | GYRO: 10189 8662 -2693 | GDP=13641.782
FLEX: 2480 2293 2438 2386 2435 | ACC: -3108 13048 6004 | GYRO: 15293 8087 -5851 | GDP=18262.246
FLEX: 2489 2308 2451 2385 2449 |6296 1244 | GYRO: 412 -394 -36 | GDP=571.206
FLEX: 2512 2130 2279 2224 2238 | ACC: 1656 16260 1436 | GYRO: 822 -19 -412 | GDP=919.668
FLEX: 2527 2118 2285 2231 2240 | ACC: 1300 16476 1016 | GYRO: 717 -379 -243 | GDP=846.628
FLEX: 2552 2160 2284 2238 2224 | ACC: 1372 16448 700 | GYRO: 822 20 118 | GDP=830.667
FLEX: 2500 2183 2288 2219 2241 | ACC: 1868 16324 504 | GYRO: 312 216 199 | GDP=428.487
FLEX: 2469 2110 2151 2114 2236 | ACC: 1760 16224 1200 | GYRO: 240 167 -101 | GDP=309.338
FLEX: 2533 2137 2250 2219 2234 | ACC: 1572 16280 1328 | GYRO: 423 109 -104 | GDP=449.028
FLEX: 2496 2129 2269 2227 2241 | ACC: 1288 16400 1416 | GYRO: 549 -102 -24 | GDP=558.911
FLEX: 2496 2131 2275 2224 2259 | ACC: 1680 16176 1220 | GYRO: 609 99 121 | GDP=628.747
FLEX: 2490 2128 2269 2231 2234 | ACC: 1728 16212 1256 | GYRO: 884 -478 102 | GDP=1010.121
FLEX: 2471 2147 2270 2221 2251 | ACC: 1740 16288 1168 | GYRO: 730 -11 34 | GDP=730.874
FLEX: 2496 2134 2262 2222 2247 | ACC: 1700 16260 1004 | GYRO: 719 147 -67 | GDP=736.925
FLEX: 2497 2160 2281 2221 2273 | ACC: 1668 16288 924 | GYRO: 528 -64 99 | GDP=541.000
FLEX: 2507 2138 2270 2192 2250 | ACC: 1536 16300 1236 | GYRO: 573 -217 79 | GDP=617.786
FLEX: 2484 2144 2283 2282 2284 | ACC: 1828 16360 992 | GYRO: 594 93 47 | GDP=603.070
FLEX: 2503 2147 2273 2206 2242 | ACC: 1680 16276 1244 | GYRO: 650 -200 75 | GDP=684.197
FLEX: 2512 2148 2269 2224 2247 | ACC: 1628 16232 1132 | GYRO: 618 47 25 | GDP=620.289
FLEX: 2503 2131 2275 2214 2230 | ACC: 1808 16348 1064 | GYRO: 600 7 83 | GDP=605.754
FLEX: 2500 2139 2282 2223 2259 | ACC: 1824 16300 1188 | GYRO: 798 -89 -64 | GDP=805.494
FLEX: 2497 2147 2277 2219 2247 | ACC: 1600 16384 1152 | GYRO: 675 45 -98 | GDP=683.560
FLEX: 2489 2139 2261 2234 2246 | ACC: 1612 16256 992 | GYRO: 551 -65 -41 | GDP=556.334
FLEX: 2508 2128 2294 2222 2243 | ACC: 1564 16324 1124 | GYRO: 494 -239 65 | GDP=552.614
FLEX: 2496 2135 2292 2229 2250 | ACC: 1748 16220 1092 | GYRO: 462 -151 121 | GDP=500.885
FLEX: 2511 2139 2270 2214 2227 | ACC: 1832 16216 1164 | GYRO: 459 -35 137 | GDP=480.286
FLEX: 2512 2169 2283 2223 2251 | ACC: 1788 16324 1256 | GYRO: 793 83 77 | GDP=801.041
FLEX: 2485 2135 2256 2211 2241 | ACC: 1872 16336 980 | GYRO: 668 47 85 | GDP=675.024
FLEX: 2501 2158 2267 2230 2239 | ACC: 1788 16288 1156 | GYRO: 665 46 -33 | GDP=667.405
FLEX: 2502 2128 2283 2207 2236 | ACC: 1600 16364 1256 | GYRO: 686 -88 -76 | GDP=695.784
FLEX: 2517 2161 2302 2230 2248 | ACC: 1652 16252 1132 | GYRO: 788 174 -11 | GDP=807.057
FLEX: 2498 2151 2261 2221 2243 | ACC: 1756 16280 1028 | GYRO: 602 -310 101 | GDP=684.620
FLEX: 2529 2124 2284 2192 2224 | ACC: 1860 16232 1236 | GYRO: 760 33 -12 | GDP=760.811
FLEX: 2507 2112 2275 2228 2277 | ACC: 1952 16312 964 | GYRO: 639 55 -29 | GDP=642.018
FLEX: 2475 2142 2235 2334 2231 | ACC: 1748 16356 1084 | GYRO: 514 6 -19 | GDP=514.386
FLEX: 2496 2149 2275 2236 2230 | ACC: 1680 16280 1216 | GYRO: 486 -54 33 | GDP=490.103
