# sentence_label=Rest
# timestamp=1763201254.7287014
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=77
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2494 2130 2249 2267 2290 | ACC: 4540 15712 1772 | GYRO: 634 49 18 | GDP=636.145
FLEX: 2496 2167 2267 2244 2281 | ACC: 4200 15744 2164 | GYRO: 446 108 80 | GDP=465.811
FLEX: 2487 2143 2267 2243 2250 | ACC: 4284 15840 2144 | GYRO: 667 155 -92 | GDP=690.925
FLEX: 2490 2158 2289 2255 2283 | ACC: 4488 15684 1600 | GYRO: 715 126 -200 | GDP=753.061
FLEX: 2505 2143 2282 2256 2271 | ACC: 4136 15800 1664 | GYRO: 511 57 -303 | GDP=596.807
FLEX: 2503 2160 2288 2257 2292 | ACC: 4224 15788 1748 | GYRO: 436 152 -280 | GDP=540.000
FLEX: 2495 2174 2293 2241 2266 | ACC: 4036 15880 2044 | GYRO: 283 9 -310 | GDP=419.845
FLEX: 2499 2152 2288 2249 2273 | ACC: 4528 15736 1692 | GYRO: 514 430 -566 | GDP=877.184
FLEX: 2483 2150 2282 2238 2276 | ACC: 4360 15700 1816 | GYRO: 214 506 -796 | GDP=967.186
FLEX: 2499 2160 2295 2247 2282 | ACC: 4668 15708 1612 | GYRO: 154 659 -1163 | GDP=1345.573
FLEX: 2497 2157 2267 2243 2267 | ACC: 3516 15820 2536 | GYRO: -24 82 -1388 | GDP=1390.627
FLEX: 2496 2147 2271 2245 2288 | ACC: 3976 15872 1924 | GYRO: 220 752 -1432 | GDP=1632.338
FLEX: 2486 2138 2289 2251 2281 | ACC: 3104 16044 2552 | GYRO: 83 126 -1411 | GDP=1419.044
FLEX: 2496 2160 2278 2240 2277 | ACC: 3680 15848 1888 | GYRO: 197 995 -1530 | GDP=1835.683
FLEX: 2485 2161 2275 2243 2275 | ACC: 3592 15908 1740 | GYRO: -156 901 -2012 | GDP=2210.041
FLEX: 2501 2144 2295 2250 2282 | ACC: 2988 15836 2368 | GYRO: -704 849 -2337 | GDP=2584.180
FLEX: 2493 2160 2287 2231 2286 | ACC: 2644 15988 2460 | GYRO: -545 724 -2309 | GDP=2480.460
FLEX: 2496 2170 2290 2236 2279 | ACC: 1720 16068 3348 | GYRO: -587 805 -2077 | GDP=2303.589
FLEX: 2487 2158 2270 2242 2279 | ACC: 1676 16040 3144 | GYRO: -91 851 -1804 | GDP=1996.722
FLEX: 2493 2151 2295 2227 2289 | ACC: 1004 16240 3568 | GYRO: -233 380 -1393 | GDP=1462.579
FLEX: 2494 2163 2282 2241 2283 | ACC: 1704 15944 3092 | GYRO: -17 315 -1184 | GDP=1225.304
FLEX: 2487 2144 2293 2235 2282 | ACC: 1140 16084 3744 | GYRO: 21 205 -1096 | GDP=1115.205
FLEX: 2496 2145 2266 2231 2275 | ACC: 1496 16052 3220 | GYRO: 205 296 -991 | GDP=1054.382
FLEX: 2544 2116 2260 2242 2277 | ACC: 904 16136 3748 | GYRO: 200 -64 -859 | GDP=884.295
FLEX: 2449 2176 2275 2252 2281 | ACC: 1432 16104 3084 | GYRO: 413 476 -772 | GDP=996.559
FLEX: 2495 2139 2277 2261 2274 | ACC: 1172 15992 3420 | GYRO: 159 25 -844 | GDP=859.210
FLEX: 2493 2145 2265 2203 2291 | ACC: 1256 16008 3260 | GYRO: 68 701 -979 | GDP=1206.012
FLEX: 2462 2130 2303 2271 2293 | ACC: 1064 15992 3432 | GYRO: -153 -13 -1017 | GDP=1028.527
FLEX: 2445 2192 2288 2242 2309 | ACC: 1304 15928 2956 | GYRO: -184 933 -1126 | GDP=1473.846
FLEX: 2483 2160 2269 2240 2298 | ACC: 644 15980 3924 | GYRO: -478 -108 -1206 | GDP=1301.762
FLEX: 2510 2147 2278 2243 2266 | ACC: 952 15900 3352 | GYRO: -321 1136 -1339 | GDP=1785.065
FLEX: 2507 2154 2287 2239 2330 | ACC: 572 15948 3744 | GYRO: -379 417 -1344 | GDP=1457.349
FLEX: 2497 2154 2278 2237 2274 | ACC: 44 15832 4340 | GYRO: -746 577 -1398 | GDP=1686.372
FLEX: 2487 2145 2283 2222 2289 | ACC: 856 15688 3812 | GYRO: -709 712 -1455 | GDP=1768.234
FLEX: 2497 2176 2288 2260 2271 | ACC: 96 15740 4832 | GYRO: -838 536 -1931 | GDP=2172.165
FLEX: 2486 2149 2272 2228 2271 | ACC: -164 15676 4460 | GYRO: -539 1067 -2184 | GDP=2489.752
FLEX: 2506 2144 2287 2241 2288 | ACC: -1024 15760 4964 | GYRO: -776 480 -2170 | GDP=2354.034
FLEX: 2513 2154 2273 2239 2251 | ACC: -1000 15548 4604 | GYRO: -453 666 -1941 | GDP=2101.487
FLEX: 2510 2158 2287 2193 2240 | ACC: -1344 15664 4916 | GYRO: -512 409 -1768 | GDP=1885.537
FLEX: 2503 2146 2259 2234 2281 | ACC: -2100 15836 5452 | GYRO: -850 118 -1476 | GDP=1707.337
FLEX: 2503 2158 2282 2240 2290 | ACC: -1300 15468 4992 | GYRO: -466 379 -1173 | GDP=1317.849
FLEX: 2522 2138 2277 2227 2279 | ACC: -1924 15560 5372 | GYRO: -667 547 -1039 | GDP=1350.414
FLEX: 2498 2178 2291 2203 2299 | ACC: -1240 15364 4712 | GYRO: -567 703 -1010 | GDP=1354.916
FLEX: 2495 2143 2283 2245 2279 | ACC: -2040 15400 5740 | GYRO: -1166 415 -1149 | GDP=1688.781
FLEX: 2494 2177 2283 2240 2256 | ACC: -1440 15156 5108 | GYRO: -1180 665 -1090 | GDP=1738.599
FLEX: 2498 2145 2277 2262 2287 | ACC: -2464 15152 6600 | GYRO: -1517 242 -1229 | GDP=1967.306
FLEX: 2511 2148 2290 2252 2290 | ACC: -1868 15028 5860 | GYRO: -975 867 -1169 | GDP=1751.820
FLEX: 2492 2158 2277 2219 2258 | ACC: -2720 14900 6940 | GYRO: -1164 265 -974 | GDP=1540.713
FLEX: 2499 2155 2273 2245 2286 | ACC: -2108 14724 6108 | GYRO: -619 1682 -982 | GDP=2043.675
FLEX: 2479 2153 2272 2240 2276 | ACC: -3008 14764 6980 | GYRO: -724 567 -965 | GDP=1333.000
FLEX: 2495 2145 2274 2239 2279 | ACC: -2404 14740 6000 | GYRO: -685 948 -997 | GDP=1536.860
FLEX: 2496 2160 2272 2224 2278 | ACC: -2956 14780 6248 | GYRO: -1298 572 -1055 | GDP=1767.771
FLEX: 2503 2145 2285 2245 2283 | ACC: -2960 14524 7100 | GYRO: -1476 165 -1005 | GDP=1793.272
FLEX: 2501 2143 2281 2260 2256 | ACC: -3388 14488 7400 | GYRO: -1284 985 -968 | GDP=1885.711
FLEX: 2496 2158 2282 2263 2295 | ACC: -2984 14220 7048 | GYRO: -1308 407 -1014 | GDP=1704.321
FLEX: 2507 2142 2288 2239 2279 | ACC: -3312 14084 7612 | GYRO: -1357 239 -1022 | GDP=1715.533
FLEX: 2499 2165 2283 2254 2299 | ACC: -3580 14212 7880 | GYRO: -1405 1469 -1191 | GDP=2355.943
FLEX: 2493 2144 2272 2239 2287 | ACC: -3524 13776 8312 | GYRO: -1594 -1081 -1052 | GDP=2194.562
FLEX: 2512 2160 2291 2251 2270 | ACC: -3548 13656 7984 | GYRO: -1294 1772 -1220 | GDP=2510.542
FLEX: 2501 2161 2298 2234 2291 | ACC: -3728 13484 8064 | GYRO: -1276 169 -1274 | GDP=1811.025
FLEX: 2497 2152 2288 2240 2290 | ACC: -3860 13496 8204 | GYRO: -1457 372 -1341 | GDP=2014.824
FLEX: 2483 2130 2239 2223 2256 | ACC: -4188 13388 8420 | GYRO: -1678 470 -1552 | GDP=2333.514
FLEX: 2493 2144 2287 2224 2273 | ACC: -3808 13024 8192 | GYRO: -1985 -388 -1421 | GDP=2471.844
FLEX: 2485 2151 2288 2242 2298 | ACC: -5148 13220 9768 | GYRO: -2495 761 -1663 | GDP=3093.496
FLEX: 2490 2207 2276 2255 2288 | ACC: -4260 12376 9432 | GYRO: -2876 -2500 -1274 | GDP=4018.016
FLEX: 2462 2199 2256 2274 2283 | ACC: -4440 12412 10072 | GYRO: -1811 1147 -1431 | GDP=2577.419
FLEX: 2501 2128 2250 2267 2254 | ACC: -4224 12096 8892 | GYRO: -1705 -134 -1609 | GDP=2348.161
FLEX: 2517 2122 2266 2256 2323 | ACC: -4540 11920 9588 | GYRO: -2331 -508 -1706 | GDP=2932.927
FLEX: 2535 2132 2293 2240 2281 | ACC: -5268 11844 10836 | GYRO: -3475 -773 -1748 | GDP=3965.937
FLEX: 2551 2154 2242 2255 2243 | ACC: -4512 11176 10756 | GYRO: -3329 -2397 -1710 | GDP=4444.316
FLEX: 2517 2225 2275 2225 2315 | ACC: -5124 11076 11524 | GYRO: -3330 -932 -1785 | GDP=3891.497
FLEX: 2475 2142 2297 2270 2299 | ACC: -4320 10368 10664 | GYRO: -2865 -1289 -1891 | GDP=3666.828
FLEX: 2490 2160 2278 2222 2305 | ACC: -5392 10260 11872 | GYRO: -3265 -35 -1867 | GDP=3761.268
FLEX: 2494 2126 2288 2255 2263 | ACC: -4720 9868 10912 | GYRO: -3203 -174 -1886 | GDP=3721.086
FLEX: 2497 2151 2290 2217 2281 | ACC: -5652 9436 13232 | GYRO: -4043 -1669 -1766 | GDP=4717.008
