# sentence_label=What's up!
# timestamp=1763199754.0779777
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=79
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2475 2141 2318 2271 2352 | ACC: -6352 13968 6236 | GYRO: -938 -228 -244 | GDP=995.673
FLEX: 2474 2189 2329 2288 2378 | ACC: -6872 13464 6988 | GYRO: -752 -1053 -284 | GDP=1324.752
FLEX: 2470 2138 2337 2253 2364 | ACC: -616 12348 9184 | GYRO: -844 636 265 | GDP=1089.521
FLEX: 2451 2145 2336 2176 2352 | ACC: -5396 11892 14596 | GYRO: -1817 -1 1926 | GDP=2647.823
FLEX: 2464 2140 2345 2171 2325 | ACC: -5180 11332 20836 | GYRO: 4565 -2603 1966 | GDP=5610.703
FLEX: 2467 2150 2339 2165 2334 | ACC: -1704 10912 18796 | GYRO: 18574 -5844 2490 | GDP=19630.230
FLEX: 2461 2154 2337 2154 2326 | ACC: -3880 12392 12648 | GYRO: 32767 -711 4521 | GDP=33085.059
FLEX: 2462 2143 2352 2135 2336 | ACC: -3840 14920 4500 | GYRO: 30020 335 1628 | GDP=30065.979
FLEX: 2461 2142 2352 2112 2313 | ACC: -3948 13060 3960 | GYRO: 27442 -5726 1686 | GDP=28083.680
FLEX: 2493 2138 2335 2089 2313 | ACC: -1248 14168 -5068 | GYRO: 21547 -3008 -1127 | GDP=21785.119
FLEX: 2474 2131 2332 2071 2266 | ACC: -1628 9172 -4976 | GYRO: 25229 -6493 -4087 | GDP=26369.775
FLEX: 2492 2147 2321 2093 2282 | ACC: -7044 11028 -3400 | GYRO: 19137 -356 -4751 | GDP=19721.145
FLEX: 2481 2146 2336 2064 2276 | ACC: -1196 6296 -7368 | GYRO: 20848 -12491 -6499 | GDP=25157.527
FLEX: 2510 2160 2313 2025 2288 | ACC: -9464 7900 -9108 | GYRO: 23616 3984 -11429 | GDP=26536.951
FLEX: 2496 2151 2335 2041 2288 | ACC: -6344 3920 -18840 | GYRO: 19085 -6797 -8935 | GDP=22142.057
FLEX: 2502 2159 2339 2033 2284 | ACC: -14412 3796 -16096 | GYRO: 10224 2275 -6640 | GDP=12401.427
FLEX: 2499 2146 2322 2038 2279 | ACC: -10656 5108 -18240 | GYRO: 3755 -5675 -327 | GDP=6812.678
FLEX: 2506 2153 2320 2062 2283 | ACC: -9596 6100 -13768 | GYRO: 1522 -3135 54 | GDP=3485.344
FLEX: 2501 2132 2356 2060 2267 | ACC: -8224 7304 -14048 | GYRO: -245 -1983 41 | GDP=1998.498
FLEX: 2517 2155 2322 2066 2274 | ACC: -9508 7876 -12092 | GYRO: 1300 -1049 -397 | GDP=1716.977
FLEX: 2497 2128 2341 2037 2283 | ACC: -9148 7608 -12620 | GYRO: 533 -709 52 | GDP=888.523
FLEX: 2509 2159 2334 2043 2289 | ACC: -8876 7016 -12468 | GYRO: 297 -1274 290 | GDP=1339.920
FLEX: 2490 2135 2330 2039 2276 | ACC: -9112 7196 -11776 | GYRO: -72 -946 280 | GDP=989.192
FLEX: 2489 2159 2316 2083 2286 | ACC: -9148 7032 -10676 | GYRO: -223 -482 126 | GDP=545.829
FLEX: 2519 2131 2326 2071 2274 | ACC: -9016 7588 -10496 | GYRO: 403 -197 -262 | GDP=519.482
FLEX: 2479 2133 2358 2071 2293 | ACC: -8948 7704 -11336 | GYRO: 210 -835 -166 | GDP=876.859
FLEX: 2499 2145 2310 2047 2279 | ACC: -9464 7716 -11136 | GYRO: 763 -699 -114 | GDP=1041.041
FLEX: 2503 2162 2325 2077 2273 | ACC: -9156 7220 -12136 | GYRO: -67 -645 106 | GDP=657.077
FLEX: 2502 2160 2341 2089 2288 | ACC: -9756 7672 -11016 | GYRO: 289 -230 294 | GDP=472.077
FLEX: 2502 2145 2333 2074 2269 | ACC: -9480 6896 -13616 | GYRO: -1036 -471 614 | GDP=1293.110
FLEX: 2497 2158 2342 2064 2267 | ACC: -10496 8180 -10664 | GYRO: -1806 -306 1529 | GDP=2386.024
FLEX: 2499 2151 2345 2095 2286 | ACC: -8004 8064 -9768 | GYRO: -812 -351 1455 | GDP=1702.812
FLEX: 2497 2151 2332 2083 2281 | ACC: -8224 9028 -10036 | GYRO: -222 1229 -31 | GDP=1249.274
FLEX: 2501 2160 2352 2064 2288 | ACC: -8400 8920 -10012 | GYRO: 262 -1391 15 | GDP=1415.539
FLEX: 2507 2135 2323 2102 2279 | ACC: -9172 8240 -9652 | GYRO: 1163 71 -733 | GDP=1376.553
FLEX: 2513 2141 2327 2071 2277 | ACC: -9188 7944 -10852 | GYRO: 1363 -639 -379 | GDP=1552.331
FLEX: 2496 2156 2318 2078 2274 | ACC: -9520 7880 -13820 | GYRO: -408 1334 -606 | GDP=1520.939
FLEX: 2507 2186 2348 2083 2269 | ACC: -10612 7488 -11632 | GYRO: -1458 -454 779 | GDP=1714.270
FLEX: 2535 2112 2342 2085 2288 | ACC: -10792 7452 -14876 | GYRO: -5164 1370 1452 | GDP=5536.434
FLEX: 2499 2171 2334 2099 2268 | ACC: -10508 7616 -11644 | GYRO: -11060 159 3371 | GDP=11563.413
FLEX: 2487 2096 2331 2092 2235 | ACC: -9012 6584 -17768 | GYRO: -18321 5722 3032 | GDP=19431.762
FLEX: 2453 2165 2367 2175 2182 | ACC: -11360 6584 -13928 | GYRO: -30725 7075 4415 | GDP=31836.670
FLEX: 2511 2187 2319 2144 2282 | ACC: -10196 8412 -8564 | GYRO: -32768 2255 6162 | GDP=33418.516
FLEX: 2469 2120 2427 2222 2307 | ACC: -5572 8652 -5384 | GYRO: -32504 1467 6328 | GDP=33146.730
FLEX: 2481 2203 2362 2192 2327 | ACC: -5288 10956 720 | GYRO: -32768 4649 5307 | GDP=33518.938
FLEX: 2499 2154 2355 2239 2272 | ACC: -4028 10308 5612 | GYRO: -30747 4180 3916 | GDP=31275.957
FLEX: 2478 2096 2316 2209 2294 | ACC: -7068 10244 10652 | GYRO: -30077 7711 2469 | GDP=31147.734
FLEX: 2498 2122 2289 2209 2259 | ACC: -3808 8288 11456 | GYRO: -22625 7482 3545 | GDP=24092.281
FLEX: 2495 2128 2351 2193 2294 | ACC: -6936 7348 15460 | GYRO: -21244 9433 3426 | GDP=23495.244
FLEX: 2503 2142 2355 2192 2307 | ACC: -9112 4584 21748 | GYRO: -17294 8007 1444 | GDP=19112.289
FLEX: 2496 2181 2382 2203 2259 | ACC: -5188 5544 17012 | GYRO: -8518 4619 1877 | GDP=9869.885
FLEX: 2459 2141 2326 2196 2283 | ACC: -9504 5624 18212 | GYRO: -5346 -369 -625 | GDP=5395.044
FLEX: 2448 2096 2304 2152 2322 | ACC: -7376 6168 16452 | GYRO: -2486 -2245 -342 | GDP=3367.074
FLEX: 2453 2122 2310 2213 2240 | ACC: -8172 5600 17548 | GYRO: 1200 -3181 -458 | GDP=3430.528
FLEX: 2477 2147 2437 2175 2327 | ACC: -7792 6020 18332 | GYRO: 3279 -8355 -1205 | GDP=9055.931
FLEX: 2482 2143 2349 2214 2298 | ACC: -5652 4508 21448 | GYRO: 10188 -11641 -1979 | GDP=15595.662
FLEX: 2482 2137 2355 2223 2288 | ACC: -3276 5372 18280 | GYRO: 20335 -14016 -1544 | GDP=24745.594
FLEX: 2465 2119 2343 2194 2277 | ACC: -4460 5180 19688 | GYRO: 32767 -15966 -2826 | GDP=36559.207
FLEX: 2492 2128 2370 2163 2256 | ACC: -1688 6072 8932 | GYRO: 32767 -11364 -233 | GDP=34682.430
FLEX: 2480 2112 2352 2112 2240 | ACC: -3896 12152 5420 | GYRO: 32767 -1714 -3209 | GDP=32968.348
FLEX: 2484 2125 2362 2075 2259 | ACC: -3532 10800 1948 | GYRO: 32767 -11843 -2475 | GDP=34929.336
FLEX: 2484 2103 2348 2099 2272 | ACC: -1760 9476 -3540 | GYRO: 30522 -6985 -5701 | GDP=31825.840
FLEX: 2505 2135 2349 2086 2237 | ACC: -2716 10168 -9860 | GYRO: 28758 -1462 -9809 | GDP=30420.002
FLEX: 2476 2131 2339 2078 2219 | ACC: -5492 4508 -8200 | GYRO: 29368 -5068 -11587 | GDP=31975.344
FLEX: 2500 2142 2352 2086 2213 | ACC: -9840 3744 -15920 | GYRO: 17879 -2173 -11329 | GDP=21277.379
FLEX: 2490 2127 2330 2064 2208 | ACC: -11100 5976 -18680 | GYRO: 14943 -6117 -7123 | GDP=17647.891
FLEX: 2498 2135 2360 2107 2199 | ACC: -11888 4532 -11912 | GYRO: 4279 -3437 -1671 | GDP=5737.164
FLEX: 2497 2130 2335 2086 2192 | ACC: -8528 9216 -14776 | GYRO: 3134 -5055 399 | GDP=5961.055
FLEX: 2499 2129 2353 2080 2221 | ACC: -8016 7944 -13152 | GYRO: 2114 -384 -743 | GDP=2273.434
FLEX: 2489 2128 2363 2097 2203 | ACC: -8596 9008 -12996 | GYRO: 1305 -1337 -72 | GDP=1869.700
FLEX: 2487 2142 2339 2064 2194 | ACC: -8848 7912 -12136 | GYRO: 576 98 -359 | GDP=685.756
FLEX: 2485 2128 2345 2070 2183 | ACC: -8952 8472 -11604 | GYRO: -100 -616 59 | GDP=626.847
FLEX: 2485 2129 2347 2094 2192 | ACC: -8272 7864 -11224 | GYRO: 434 745 -613 | GDP=1057.899
FLEX: 2487 2128 2335 2075 2189 | ACC: -8664 8376 -11228 | GYRO: 185 -307 -128 | GDP=380.602
FLEX: 2482 2125 2351 2091 2213 | ACC: -8452 8316 -11712 | GYRO: 529 -258 -438 | GDP=733.655
FLEX: 2514 2138 2354 2073 2182 | ACC: -8584 8240 -11816 | GYRO: 292 -57 -74 | GDP=306.576
FLEX: 2512 2135 2368 2096 2194 | ACC: -8992 8196 -11456 | GYRO: 538 -192 -156 | GDP=592.152
FLEX: 2481 2121 2339 2102 2191 | ACC: -8872 8032 -10800 | GYRO: 415 1134 -224 | GDP=1228.152
FLEX: 2487 2145 2355 2086 2192 | ACC: -8356 8292 -11068 | GYRO: 682 -1089 483 | GDP=1372.710
