# sentence_label=What's up!
# timestamp=1763200120.8673244
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=81
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2463 2205 2403 2323 2399 | ACC: -6916 12104 4811 4436 | GDP=6873.910
FLEX: 2492 2192 2338 2327 2426 | ACC: -8796 12744 -400 | GYRO: -3843 3945 3512 | GDP=6531.908
FLEX: 2466 2240 2326 2310 2411 | ACC: -10780 12668 736 | GYRO: -3640 1398 877 | GDP=3996.640
FLEX: 2464 2202 2354 2323 2414 | ACC1956 8528 | GYRO: 998 315 121 | GDP=1053.504
FLEX: 2464 2222 2385 2352 2432 | ACC: -7104 12272 7960 | GYRO: -1094 -177 -602 | GDP=1261.178
FLEX: 2471 2227 2366 2330 2384 | ACC: -7116 11496 9100 | GYRO: -828 -181 -569 | GDP=1020.836
FLEX: 2486 2256 2404 2255 2374 | ACC: -7256 12412 8280 | GYRO: -524 -284 -599 | GDP=845.005
FLEX: 2477 2210 2334 2309 2375 | ACC: -7592 13164 8256 | GYRO: -5252 55 -769 | GDP=5308.285
FLEX: 2432 2182 2412 2319 2397 | ACC: -8616 12892 10564 | GYRO: -10150 -2289 -1095 | GDP=10462.363
FLEX: 2409 2230 2437 2302 2375 | ACC: -8392 11028 13032 | GYRO: -9002 -3003 1057 | GDP=9548.364
FLEX: 2467 2185 2433 2333 2432 | ACC: -8320 9952 13972 | GYRO: -8275 -716 3414 | GDP=8980.183
FLEX: 2449 2251 2439 2269 2359 | ACC: -8532 9236 15688 | GYRO: -4164 -4204 5059 | GDP=7784.985
FLEX: 2425 2187 2409 2201 2419 | ACC: -7136 8764 16608 | GYRO: -1193 -5538 7120 | GDP=9098.741
FLEX: 2495 2181 2307 2243 2308 | ACC: -5704 5828 22820 | GYRO: 7668 -10522 8994 | GDP=15824.119
FLEX: 2443 2217 2371 2247 2369 | ACC: -3612 5460 21356 | GYRO: 24185 -5901 12699 | GDP=27946.387
FLEX: 2448 2182 2342 2207 2347 | ACC: 4852 -1068 25484 | GYRO: 32767 -7792 14000 | GDP=36474.531
FLEX: 2445 2219 2403 2234 2339 | ACC: 5856 -2756 9884 | GYRO: 32767 -6150 3858 | GDP=33561.629
FLEX: 2518 2177 2407 2180 2320 | ACC: 3844 -1664 -13112 | GYRO: 32767 14721 -3852 | GDP=36127.855
FLEX: 2501 2185 2384 2180 2333 | ACC: -1776 572 -24080 | GYRO: 32767 15771 -6029 | GDP=36861.219
FLEX: 2508 2175 2374 2167 2319 | ACC: -4604 2756 -20976 | GYRO: 15370 -9423 -900 | GDP=18051.033
FLEX: 2513 2169 2373 2189 2326 | ACC: -2816 6260 -22440 | GYRO: 5896 -9241 394 | GDP=10968.779
FLEX: 2507 2160 2367 2192 2314 | ACC: -3728 9036 -15664 | GYRO: -1169 -9571 2745 | GDP=10025.249
FLEX: 2496 2171 2349 2199 2329 | ACC: -324 9548 -15960 | GYRO: 229 -6303 1759 | GDP=6547.849
FLEX: 2509 2157 2368 2176 2316 | ACC: -3196 11000 -13104 | GYRO: 1192 -807 -927 | GDP=1712.145
FLEX: 2499 2151 2373 2193 2321 | ACC: -1880 8856 -17068 | GYRO: 310 1037 -2007 | GDP=2280.245
FLEX: 2518 2150 2364 2182 2302 | ACC: -5416 8664 -11104 | GYRO: -583 -1776 116 | GDP=1872.838
FLEX: 2513 2158 2369 2192 2334 | ACC: -1244 9456 -15340 | GYRO: 165 -1028 469 | GDP=1141.915
FLEX: 2527 2185 2382 2176 2329 | ACC: -3540 9772 -12556 | GYRO: 210 922 -269 | GDP=983.130
FLEX: 2486 2160 2381 2182 2310 | ACC: -2144 9256 -13704 | GYRO: 53 -639 225 | GDP=679.526
FLEX: 2503 2157 2368 2176 2317 | ACC: -2768 9476 -13752 | GYRO: -342 -232 -435 | GDP=600.011
FLEX: 2499 2162 2377 2197 2347 | ACC: -3276 9628 -13024 | GYRO: -668 824 106 | GDP=1066.037
FLEX: 2510 2183 2368 2208 2320 | ACC: -2460 9808 -14836 | GYRO: -1356 416 -47 | GDP=1419.155
FLEX: 2508 2175 2366 2208 2322 | ACC: -2280 9536 -14344 | GYRO: -3517 654 54 | GDP=3577.698
FLEX: 2496 2155 2358 2197 2338 | ACC: -2384 10140 -17076 | GYRO: -7547 1720 -1185 | GDP=7830.698
FLEX: 2507 2181 2364 2203 2318 | ACC: -3548 10916 -18556 | GYRO: -16436 3985 -1822 | GDP=17010.057
FLEX: 2492 2202 2358 2227 2323 | ACC: -6064 10968 -13240 | GYRO: -24407 1387 1030 | GDP=24468.068
FLEX: 2502 2195 2374 2266 2366 | ACC: -3508 10988 -11156 | GYRO: -28313 -3223 5062 | GDP=28941.969
FLEX: 2469 2195 2359 2271 2366 | ACC: -1908 12328 -5084 | GYRO: -29160 -1428 5085 | GDP=29634.473
FLEX: 2480 2215 2385 2305 2368 | ACC: -1136 13944 -1052 | GYRO: -31390 -141 5040 | GDP=31792.352
FLEX: 2497 2202 2364 2288 2331 | ACC: -1160 12320 4804 | GYRO: -32768 -2170 3777 | GDP=33056.262
FLEX: 2485 2224 2385 2273 2352 | ACC: -356 10948 9060 | GYRO: -31042 -2893 5381 | GDP=31637.484
FLEX: 2480 2192 2384 2295 2352 | ACC: 2148 9832 12332 | GYRO: -20971 -2514 6221 | GDP=22018.262
FLEX: 2480 2224 2403 2317 2345 | ACC: 2708 9640 13408 | GYRO: -14586 -254 4858 | GDP=15375.827
FLEX: 2473 2235 2383 2279 2364 | ACC: 2212 8540 16596 | GYRO: -10159 384 4820 | GDP=11251.006
FLEX: 2447 2251 2397 2273 2320 | ACC: 4264 8064 15740 | GYRO: -3418 -574 2841 | GDP=4481.459
FLEX: 2470 2234 2368 2261 2363 | ACC: 3976 8484 15104 | GYRO: -596 -602 1715 | GDP=1912.811
FLEX: 2473 2226 2395 2286 2352 | ACC: 3944 9008 14404 | GYRO: 1724 134 575 | GDP=1822.294
FLEX: 2464 2237 2384 2267 2342 | ACC: 3616 9888 13224 | GYRO: 2822 -312 -466 | GDP=2877.183
FLEX: 2465 2243 2386 2290 2359 | ACC: 2852 11048 12052 | GYRO: 3445 -856 -632 | GDP=3605.577
FLEX: 2465 2226 2384 2268 2334 | ACC: 2832 11436 11312 | GYRO: 2798 33 -41 | GDP=2798.495
FLEX: 2475 2241 2407 2290 2366 | ACC: 2368 11416 11544 | GYRO: 2161 153 -46 | GDP=2166.898
FLEX: 2470 2263 2394 2282 2339 | ACC: 2512 11512 11280 | GYRO: 1170 -64 56 | GDP=1173.087
FLEX: 2473 2256 2400 2286 2355 | ACC: 2076 11260 12100 | GYRO: 590 285 -21 | GDP=655.565
FLEX: 2484 2253 2374 2284 2352 | ACC: 2296 11216 12036 | GYRO: 518 -631 -19 | GDP=816.606
FLEX: 2474 2256 2400 2289 2349 | ACC: 2280 11052 12380 | GYRO: 832 169 390 | GDP=934.283
FLEX: 2447 2240 2391 2279 2334 | ACC: 2224 11208 12064 | GYRO: 1224 -1191 55 | GDP=1708.708
FLEX: 2471 2235 2400 2273 2346 | ACC: 2356 11412 12004 | GYRO: 996 -297 692 | GDP=1248.635
FLEX: 2477 2245 2394 2274 2362 | ACC: 2500 11284 11864 | GYRO: 967 -1163 720 | GDP=1675.129
FLEX: 2465 2253 2407 2318 2345 | ACC: 3272 11176 11752 | GYRO: 883 -434 896 | GDP=1330.737
FLEX: 2461 2256 2370 2271 2343 | ACC: 3460 11208 11684 | GYRO: 1391 -148 383 | GDP=1450.336
FLEX: 2465 2255 2399 2266 2343 | ACC: 3248 11512 11276 | GYRO: 1462 232 427 | GDP=1540.648
FLEX: 2474 2259 2390 2287 2333 | ACC: 3144 11484 11504 | GYRO: 776 216 473 | GDP=934.110
FLEX: 2504 2304 2407 2246 2354 | ACC: 3656 11396 11388 | GYRO: 624 72 312 | GDP=701.359
FLEX: 2447 2230 2383 2277 2352 | ACC: 3156 11248 11920 | GYRO: 525 196 -5 | GDP=560.416
FLEX: 2470 2176 2407 2256 2342 | ACC: 3060 11436 11748 | GYRO: 623 -58 -265 | GDP=679.498
FLEX: 2465 2247 2322 2287 2336 | ACC: 2960 11320 11736 | GYRO: 643 178 -86 | GDP=672.703
FLEX: 2463 2261 2371 2288 2327 | ACC: 2680 11372 11944 | GYRO: 714 -299 -244 | GDP=811.624
FLEX: 2433 2246 2377 2299 2352 | ACC: 3072 11420 11380 | GYRO: 867 429 37 | GDP=968.039
FLEX: 2407 2232 2406 2285 2351 | ACC: 2852 11380 11772 | GYRO: 696 -43 -85 | GDP=702.488
FLEX: 2458 2274 2381 2275 2335 | ACC: 3412 11448 11444 | GYRO: 608 184 73 | GDP=639.413
FLEX: 2448 2263 2299 2288 2359 | ACC: 3016 11364 11940 | GYRO: 734 102 -116 | GDP=750.077
FLEX: 2461 2245 2387 2269 2339 | ACC: 3040 11364 11524 | GYRO: 565 -188 -217 | GDP=633.765
FLEX: 2418 2270 2411 2288 2368 | ACC: 2836 11388 11880 | GYRO: 990 176 -110 | GDP=1011.522
FLEX: 2453 2252 2390 2288 2333 | ACC: 2636 11472 11776 | GYRO: 815 -278 -162 | GDP=876.215
FLEX: 2474 2267 2427 2247 2351 | ACC: 3120 11532 11384 | GYRO: 700 518 217 | GDP=897.448
FLEX: 2463 2224 2384 2289 2352 | ACC: 2892 11536 11560 | GYRO: 673 -435 -55 | GDP=803.230
FLEX: 2454 2255 2374 2289 2365 | ACC: 3020 11396 11596 | GYRO: 574 197 44 | GDP=608.458
FLEX: 2462 2279 2383 2281 2338 | ACC: 2892 11452 11592 | GYRO: 705 -74 30 | GDP=709.508
FLEX: 2468 2255 2393 2279 2336 | ACC: 2964 11440 11548 | GYRO: 622 -29 127 | GDP=635.495
FLEX: 2466 2250 2384 2285 2353 | ACC: 2808 11464 11692 | GYRO: 769 -268 30 | GDP=814.914
FLEX: 2477 2256 2384 2301 2356 | ACC: 3024 11476 11544 | GYRO: 631 -63 57 | GDP=636.694
