# sentence_label=What's up!
# timestamp=1763200164.7240696
# duration_sec=4.0
# sample_rate_hz=20
# total_samples=79
# format: FLEX: f1 f2 f3 f4 f5 | ACC: ax ay az | GYRO: gx gy gz | GDP=val
#
FLEX: 2497 2128 2341 2213 2268 | ACC: -4864 9764 -12740 | GYRO: -2429 -4753 -2116 | GDP=5741.821
FLEX: 2499 2135 2336 2210 2269 | ACC: -4292 11036 -10944 | GYRO: -1677 -2852 -912 | GDP=3431.906
FLEX: 2484 2145 2325 2201 236 | GYRO: -2625 537 -1020 | GDP=2866.948
FLEX: 2471 2126 2318 2187 2288 | ACC: -9004 12528 4284 | GYRO: -6169 -153 -1672 | GDP=6393.399
FLEX: 2465 2110 2309 2213 2288 | ACC: -8668 13140 2508 | GYRO: -6817 694 -1196 | GDP=6955.828
FLEX: 2487 2131 2352 2224 2277 | ACC: -10004 12132 4956 | GYRO: -11167 1539 -1569 | GDP=11381.220
FLEX: 2466 2145 2331 2233 2279 | ACC: -9476 11144 7180 | GYRO: -8351 221 -1640 | GDP=8513.380
FLEX: 2448 2122 2325 2222 2294 | ACC: -9776 10596 7872 | GYRO: -6168 618 -1593 | GDP=6400.296
FLEX: 2474 2128 2310 2200 2288 | ACC: -9888 10132 7820 | GYRO: -3785 1441 -1030 | GDP=4178.948
FLEX: 2481 2141 2310 2213 2287 | ACC: -10588 10392 8096 | GYRO: -2512 1803 -778 | GDP=3188.454
FLEX: 2487 2122 2320 2210 2270 | ACC: -10760 10228 8464 | GYRO: -2878 1247 -540 | GDP=3182.687
FLEX: 2467 2123 2327 2227 2284 | ACC: -10088 10260 8184 | GYRO: -1068 506 -153 | GDP=1191.667
FLEX: 2476 2128 2291 2214 2266 | ACC: -11288 10580 9308 | GYRO: -612 1660 339 | GDP=1801.406
FLEX: 2485 2113 2299 2215 2275 | ACC: -14500 12496 12988 | GYRO: -6346 1153 1307 | GDP=6580.986
FLEX: 2465 2116 2304 2208 2268 | ACC: -15480 11160 19084 | GYRO: -2692 -3969 5519 | GDP=7311.579
FLEX: 2473 2118 2325 2189 2286 | ACC: -12768 5700 26632 | GYRO: 16411 -13015 9357 | GDP=22940.457
FLEX: 2480 2112 2321 2179 2263 | ACC: -7956 5808 16500 | GYRO: 32767 -3057 16088 | GDP=36631.207
FLEX: 2481 2110 2327 2188 2257 | ACC: -13100 -2968 22872 | GYRO: 32767 -9651 17734 | GDP=38487.828
FLEX: 2487 2102 2327 2145 2251 | ACC: 11828 -560 -17032 | GYRO: 32767 6724 3178 | GDP=33600.418
FLEX: 2516 2115 2315 2141 2256 | ACC: -4564 -5288 -27964 | GYRO: 32767 12781 -5893 | GDP=35661.711
FLEX: 2523 2117 2305 2135 2254 | ACC: -4796 -4256 -22184 | GYRO: 11900 -13690 308 | GDP=18141.691
FLEX: 2534 2139 2315 2137 2258 | ACC: -6088 -880 -20072 | GYRO: 5585 -7683 -1685 | GDP=9646.758
FLEX: 2537 2115 2318 2156 2261 | ACC: -9100 5972 -15196 | GYRO: 145 -3174 1059 | GDP=3349.146
FLEX: 2513 2127 2325 2121 2258 | ACC: -3720 5540 -16456 | GYRO: -413 -7374 3370 | GDP=8118.087
FLEX: 2541 2128 2308 2137 2266 | ACC: -5132 6884 -14252 | GYRO: -100 101 -977 | GDP=987.284
FLEX: 2523 2132 2310 2135 2256 | ACC: -5608 7576 -15096 | GYRO: 954 -1153 408 | GDP=1551.125
FLEX: 2544 2131 2316 2133 2256 | ACC: -5908 7196 -15008 | GYRO: 44 -415 -393 | GDP=573.245
FLEX: 2512 2135 2347 2145 2263 | ACC: -5668 6844 -14952 | GYRO: 58 -772 236 | GDP=809.348
FLEX: 2517 2128 2320 2144 2256 | ACC: -5924 6788 -13428 | GYRO: -693 -531 292 | GDP=920.583
FLEX: 2513 2146 2307 2145 2266 | ACC: -4944 7212 -14012 | GYRO: -481 -609 330 | GDP=843.292
FLEX: 2515 2145 2310 2101 2259 | ACC: -5620 7400 -13524 | GYRO: -191 -450 -205 | GDP=530.100
FLEX: 2534 2119 2346 2173 2281 | ACC: -5660 7620 -13368 | GYRO: 399 -93 93 | GDP=420.118
FLEX: 2544 2103 2301 2135 2256 | ACC: -5496 7572 -13600 | GYRO: 118 -824 -162 | GDP=848.024
FLEX: 2500 2145 2288 2150 2228 | ACC: -6064 7688 -13428 | GYRO: 184 -553 -301 | GDP=655.947
FLEX: 2512 2112 2352 2108 2291 | ACC: -6048 7260 -13656 | GYRO: 145 -429 -197 | GDP=493.837
FLEX: 2543 2099 2359 2120 2270 | ACC: -6284 7088 -13288 | GYRO: -308 -442 -243 | GDP=590.997
FLEX: 2503 2123 2345 2141 2291 | ACC: -6172 7120 -13524 | GYRO: 201 -517 158 | GDP=576.762
FLEX: 2507 2120 2320 2160 2240 | ACC: -6612 7564 -13640 | GYRO: -565 153 -247 | GDP=635.329
FLEX: 2612 2095 2297 2174 2256 | ACC: -6228 7632 -13644 | GYRO: -1844 -1135 711 | GDP=2279.053
FLEX: 2523 2141 2334 2114 2266 | ACC: -6236 7508 -11968 | GYRO: -1296 -525 107 | GDP=1402.387
FLEX: 2518 2128 2305 2135 2286 | ACC: -5960 8556 -13012 | GYRO: -776 -896 266 | GDP=1214.804
FLEX: 2501 2128 2307 2135 2262 | ACC: -5940 8288 -12896 | GYRO: -1063 -71 -152 | GDP=1076.157
FLEX: 2512 2122 2316 2175 2242 | ACC: -6472 8652 -12528 | GYRO: -926 -239 -377 | GDP=1027.972
FLEX: 2517 2126 2320 2154 2275 | ACC: -6312 8692 -12384 | GYRO: -1339 -1638 497 | GDP=2173.240
FLEX: 2525 2141 2319 2159 2286 | ACC: -6152 8416 -12724 | GYRO: -1220 255 -815 | GDP=1489.178
FLEX: 2512 2143 2306 2160 2278 | ACC: -6896 9104 -11868 | GYRO: -716 -411 0 | GDP=825.577
FLEX: 2521 2141 2320 2134 2287 | ACC: -6060 8828 -12288 | GYRO: -188 93 -149 | GDP=257.282
FLEX: 2510 2119 2322 2157 2288 | ACC: -6716 9468 -11732 | GYRO: 273 40 -254 | GDP=375.027
FLEX: 2527 2130 2323 2171 2286 | ACC: -6396 9308 -11848 | GYRO: -40 -170 -196 | GDP=262.519
FLEX: 2514 2153 2315 2159 2256 | ACC: -6588 9156 -11732 | GYRO: 431 -483 -281 | GDP=705.699
FLEX: 2527 2161 2318 2164 2294 | ACC: -6728 9128 -11728 | GYRO: 566 -118 -105 | GDP=587.627
FLEX: 2512 2149 2311 2155 2285 | ACC: -6560 9056 -11996 | GYRO: 881 -277 -70 | GDP=926.170
FLEX: 2511 2149 2321 2192 2277 | ACC: -6672 8988 -11972 | GYRO: 483 -393 65 | GDP=626.069
FLEX: 2506 2122 2307 2170 2266 | ACC: -6828 9264 -11880 | GYRO: 698 -50 -77 | GDP=704.012
FLEX: 2510 2128 2315 2173 2286 | ACC: -6552 9092 -11944 | GYRO: 712 -38 -42 | GDP=714.249
FLEX: 2523 2127 2320 2163 2273 | ACC: -6808 9096 -12052 | GYRO: 661 -7 -191 | GDP=688.078
FLEX: 2519 2170 2323 2166 2276 | ACC: -6668 9096 -11976 | GYRO: 637 -216 24 | GDP=673.053
FLEX: 2512 2136 2323 2175 2287 | ACC: -6768 9188 -12184 | GYRO: 579 80 -92 | GDP=591.697
FLEX: 2519 2139 2315 2180 2283 | ACC: -6608 9024 -11956 | GYRO: 326 333 94 | GDP=475.396
FLEX: 2514 2130 2320 2178 2269 | ACC: -6324 9072 -12472 | GYRO: 478 453 -82 | GDP=663.639
FLEX: 2526 2151 2338 2147 2302 | ACC: -6956 9140 -11472 | GYRO: 213 204 49 | GDP=298.975
FLEX: 2517 2125 2314 2170 2283 | ACC: -6228 9052 -12460 | GYRO: 462 132 118 | GDP=494.765
FLEX: 2519 2137 2321 2158 2288 | ACC: -6816 9240 -11840 | GYRO: 627 37 -22 | GDP=628.476
FLEX: 2499 2137 2316 2131 2273 | ACC: -6208 9076 -12180 | GYRO: 451 -280 85 | GDP=537.611
FLEX: 2512 2147 2324 2150 2275 | ACC: -6600 9092 -11996 | GYRO: 736 154 -335 | GDP=823.187
FLEX: 2512 2129 2303 2154 2274 | ACC: -6612 9152 -11924 | GYRO: 581 -408 18 | GDP=710.175
FLEX: 2485 2128 2321 2144 2286 | ACC: -6716 9064 -11624 | GYRO: 848 270 -290 | GDP=936.004
FLEX: 2512 2107 2307 2161 2275 | ACC: -6508 9252 -12220 | GYRO: 726 -277 -161 | GDP=793.553
FLEX: 2523 2125 2317 2159 2288 | ACC: -6888 9224 -11636 | GYRO: 659 -183 55 | GDP=686.145
FLEX: 2512 2145 2314 2160 2257 | ACC: -6556 9244 -12172 | GYRO: 676 -139 -71 | GDP=693.785
FLEX: 2513 2137 2318 2161 2288 | ACC: -6696 9112 -12376 | GYRO: 552 148 -16 | GDP=571.720
FLEX: 2511 2132 2306 2146 2299 | ACC: -6560 9084 -12120 | GYRO: 555 -387 181 | GDP=700.396
FLEX: 2499 2121 2320 2167 2288 | ACC: -6676 9152 -11848 | GYRO: 468 504 -120 | GDP=698.169
FLEX: 2517 2142 2318 2149 2286 | ACC: -6476 9144 -12036 | GYRO: 774 -74 101 | GDP=784.062
FLEX: 2511 2131 2310 2160 2294 | ACC: -6400 8964 -11924 | GYRO: 647 467 -275 | GDP=843.992
FLEX: 2532 2114 2316 2151 2288 | ACC: -6380 9184 -12088 | GYRO: 418 -411 -17 | GDP=586.459
FLEX: 2514 2147 2330 2179 2281 | ACC: -6576 9220 -11840 | GYRO: 589 265 -292 | GDP=708.809
FLEX: 2512 2155 2318 2174 2273 | ACC: -6520 9276 -11896 | GYRO: 555 -283 -116 | GDP=633.695
FLEX: 2528 2129 2343 2192 2291 | ACC: -6620 9156 -12220 | GYRO: 687 212 -314 | GDP=784.544
